dataset_key,city,n,model,scale_estimator,days_evaluated,days_rse_gt_10pct,fraction_days_rse_gt_10pct
lucknow_lcs,Lucknow,2,lognormal,standard,365,364,0.9972602739726028
lucknow_lcs,Lucknow,2,lognormal,robust_mad,365,342,0.936986301369863
lucknow_lcs,Lucknow,3,normal,standard,365,333,0.9123287671232877
lucknow_lcs,Lucknow,3,normal,robust_mad,365,249,0.6821917808219178
lucknow_lcs,Lucknow,3,lognormal,standard,365,324,0.8876712328767123
lucknow_lcs,Lucknow,3,lognormal,robust_mad,365,256,0.7013698630136986
lucknow_lcs,Lucknow,4,normal,standard,365,273,0.7479452054794521
lucknow_lcs,Lucknow,4,normal,robust_mad,365,140,0.3835616438356164
lucknow_lcs,Lucknow,4,lognormal,standard,365,261,0.7150684931506849
lucknow_lcs,Lucknow,4,lognormal,robust_mad,365,155,0.4246575342465753
lucknow_lcs,Lucknow,5,normal,standard,365,197,0.5397260273972603
lucknow_lcs,Lucknow,5,normal,robust_mad,365,79,0.21643835616438356
lucknow_lcs,Lucknow,5,lognormal,standard,365,175,0.4794520547945205
lucknow_lcs,Lucknow,5,lognormal,robust_mad,365,85,0.2328767123287671
lucknow_lcs,Lucknow,6,normal,standard,365,150,0.410958904109589
lucknow_lcs,Lucknow,6,normal,robust_mad,365,45,0.1232876712328767
lucknow_lcs,Lucknow,6,lognormal,standard,365,129,0.35342465753424657
lucknow_lcs,Lucknow,6,lognormal,robust_mad,365,52,0.14246575342465753
lucknow_lcs,Lucknow,7,normal,standard,365,116,0.3178082191780822
lucknow_lcs,Lucknow,7,normal,robust_mad,365,27,0.07397260273972603
lucknow_lcs,Lucknow,7,lognormal,standard,365,104,0.28493150684931506
lucknow_lcs,Lucknow,7,lognormal,robust_mad,365,39,0.10684931506849316
lucknow_lcs,Lucknow,8,normal,standard,365,96,0.26301369863013696
lucknow_lcs,Lucknow,8,normal,robust_mad,365,18,0.049315068493150684
lucknow_lcs,Lucknow,8,lognormal,standard,365,85,0.2328767123287671
lucknow_lcs,Lucknow,8,lognormal,robust_mad,365,20,0.0547945205479452
lucknow_lcs,Lucknow,9,normal,standard,365,77,0.21095890410958903
lucknow_lcs,Lucknow,9,normal,robust_mad,365,7,0.019178082191780823
lucknow_lcs,Lucknow,9,lognormal,standard,365,72,0.19726027397260273
lucknow_lcs,Lucknow,9,lognormal,robust_mad,365,12,0.03287671232876712
lucknow_lcs,Lucknow,10,normal,standard,365,54,0.14794520547945206
lucknow_lcs,Lucknow,10,normal,robust_mad,365,5,0.0136986301369863
lucknow_lcs,Lucknow,10,lognormal,standard,365,58,0.1589041095890411
lucknow_lcs,Lucknow,10,lognormal,robust_mad,365,7,0.019178082191780823
lucknow_lcs,Lucknow,11,normal,standard,365,48,0.13150684931506848
lucknow_lcs,Lucknow,11,normal,robust_mad,365,3,0.00821917808219178
lucknow_lcs,Lucknow,11,lognormal,standard,365,51,0.13972602739726028
lucknow_lcs,Lucknow,11,lognormal,robust_mad,365,6,0.01643835616438356
lucknow_lcs,Lucknow,12,normal,standard,365,40,0.1095890410958904
lucknow_lcs,Lucknow,12,normal,robust_mad,365,2,0.005479452054794521
lucknow_lcs,Lucknow,12,lognormal,standard,365,48,0.13150684931506848
lucknow_lcs,Lucknow,12,lognormal,robust_mad,365,4,0.010958904109589041
lucknow_lcs,Lucknow,13,normal,standard,365,35,0.0958904109589041
lucknow_lcs,Lucknow,13,normal,robust_mad,365,1,0.0027397260273972603
lucknow_lcs,Lucknow,13,lognormal,standard,365,39,0.10684931506849316
lucknow_lcs,Lucknow,13,lognormal,robust_mad,365,2,0.005479452054794521
lucknow_lcs,Lucknow,14,normal,standard,365,33,0.09041095890410959
lucknow_lcs,Lucknow,14,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,14,lognormal,standard,365,32,0.08767123287671233
lucknow_lcs,Lucknow,14,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,15,normal,standard,365,27,0.07397260273972603
lucknow_lcs,Lucknow,15,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,15,lognormal,standard,365,28,0.07671232876712329
lucknow_lcs,Lucknow,15,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,16,normal,standard,365,26,0.07123287671232877
lucknow_lcs,Lucknow,16,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,16,lognormal,standard,365,27,0.07397260273972603
lucknow_lcs,Lucknow,16,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,17,normal,standard,365,25,0.0684931506849315
lucknow_lcs,Lucknow,17,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,17,lognormal,standard,365,23,0.06301369863013699
lucknow_lcs,Lucknow,17,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,18,normal,standard,365,20,0.0547945205479452
