dataset_key,city,sensor_id,station_name,period_mean_pm25_ugm3,arithmetic_period_mean_pm25_ugm3,reference_mean_pm25_ugm3,mean_minus_reference_ugm3,ci_basis,daily_means_observed,daily_presence_pct,lag1_autocorrelation,ar1_effective_n,gls_effective_n,sd_pm25_ugm3,bonferroni_z,ci_low_ugm3,ci_high_ugm3,ci_excludes_reference,longest_missing_gap_days,long_gap_gt_30d,rank_by_period_mean
chicago_lcs_corrected_no_collocation,Chicago,DGGGM0466,Bridgeport 1,9.906902339614046,9.962527881040893,10.253490712654873,-0.34658837304082724,daily_sensor_means_gap_aware_ar1_gls,269,98.53479853479854,0.5458685632756082,79.02441344690288,80.71901701256652,4.9818285773431805,3.7448446730995455,7.830389330415189,11.983415348812903,False,1.0,False,94.0
chicago_lcs_corrected_no_collocation,Chicago,DGHRH9009,Gage Park 1,7.304984700495952,7.318198529411766,10.253490712654873,-2.948506012158921,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.6082042985608155,66.26548062757104,67.23818173915475,3.218944967816021,3.7448446730995455,5.834910078134938,8.775059322856965,True,1.0,False,2.0
chicago_lcs_corrected_no_collocation,Chicago,DGKDK3415,Irving Park 4,10.089297302003017,10.124007352941176,10.253490712654873,-0.16419341065185655,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5551626611861623,77.80263709847387,78.75937058659133,5.462847118674671,3.7448446730995455,7.784133786633184,12.394460817372849,False,1.0,False,125.0
chicago_lcs_corrected_no_collocation,Chicago,DGRCH4426,West Ridge 3,9.129194289745824,9.17202205882353,10.253490712654873,-1.1242964229090493,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5532819508217887,78.22617736090226,79.18223667622281,4.849078197433535,3.7448446730995455,7.08849452664699,11.169894052844658,False,1.0,False,23.0
chicago_lcs_corrected_no_collocation,Chicago,DGRSB4646,Belmont Cragin 1,10.186292110709854,10.21297794117647,10.253490712654873,-0.06719860194501948,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5548729322730048,77.86781794750826,78.82444810033672,5.076246138927884,3.7448446730995455,8.045147442340223,12.327436779079484,False,1.0,False,137.0
chicago_lcs_corrected_no_collocation,Chicago,DGTDZ6242,Forest Glen 3,10.294837434508404,10.337269372693726,10.253490712654873,0.04134672185353061,daily_sensor_means_gap_aware_ar1_gls,271,99.26739926739927,0.5743927622293505,73.25971269870705,74.45640334714341,5.500547507878544,3.7448446730995455,7.9076380041349905,12.682036864881816,False,1.0,False,145.0
chicago_lcs_corrected_no_collocation,Chicago,DGTGR9009,South Deering 3,9.971216345050344,10.01033088235294,10.253490712654873,-0.2822743676045292,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5443588715361577,80.24973289976886,81.20248243302669,5.06751883297785,3.7448446730995455,7.865283455709214,12.077149234391474,False,1.0,False,106.0
chicago_lcs_corrected_no_collocation,Chicago,DGZGL5338,Clearing 2,10.84963582215285,10.915725190839694,10.253490712654873,0.5961451094979768,daily_sensor_means_gap_aware_ar1_gls,262,95.97069597069597,0.5491742361378036,76.24471629890226,78.62856083636774,5.249938810887257,3.7448446730995455,8.632471470499603,13.066800173806097,False,7.0,False,218.0
chicago_lcs_corrected_no_collocation,Chicago,DGZUS1041,East Side 1,10.01633890077714,10.048014705882352,10.253490712654873,-0.23715181187773382,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5178234498122044,86.40795585765092,87.34971477879316,5.0499954798639575,3.7448446730995455,7.992881560716188,12.03979624083809,False,1.0,False,114.0
chicago_lcs_corrected_no_collocation,Chicago,DHBBM8531,Garfield Ridge 1,10.64203221223524,10.692301886792453,10.253490712654873,0.38854149958036643,daily_sensor_means_gap_aware_ar1_gls,265,97.06959706959707,0.5406190825145937,79.01754853960114,80.89352695878712,5.347134780708694,3.7448446730995455,8.415658555924924,12.868405868545555,False,6.0,False,198.0
chicago_lcs_corrected_no_collocation,Chicago,DHCXV0760,West Garfield Park 1,10.579007145327507,10.571659388646287,10.253490712654873,0.3255164326726341,daily_sensor_means_gap_aware_ar1_gls,229,83.88278388278388,0.4968865524453276,76.96841106749673,84.68592643288525,5.366190932969968,3.7448446730995455,8.39530043516519,12.762713855489825,False,9.0,False,192.0
chicago_lcs_corrected_no_collocation,Chicago,DHIBT9527,Near West Side 7,10.561877624032821,10.608639705882354,10.253490712654873,0.3083869113779478,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5465963089552317,79.74013855463481,80.69373547934171,5.560150717611031,3.7448446730995455,8.243946842498422,12.87980840556722,False,1.0,False,189.0
