dataset_key,city,sample_size,estimator,nominal_coverage,days_evaluated,median_empirical_coverage,mean_empirical_coverage,median_qce_pct_points,mean_qce_pct_points,p75_qce_pct_points,median_absolute_error_ugm3
dhaka_lcs,Dhaka,15,arithmetic_mean_ci,0.9,365,0.8911,0.8765243835616439,1.0600000000000054,2.7568219178082205,2.939999999999998,1.4015334217753583
dhaka_lcs,Dhaka,15,arithmetic_mean_ci,0.95,365,0.9399,0.9230569863013698,1.1099999999999999,2.9364931506849294,3.069999999999995,1.4015334217753583
dhaka_lcs,Dhaka,15,lognormal_delta_ci,0.68,365,0.6753,0.6576556164383561,4.569999999999997,7.18972602739726,8.05,1.5183099349531517
dhaka_lcs,Dhaka,15,lognormal_delta_ci,0.9,365,0.8973,0.8645986301369863,2.5599999999999956,5.750712328767124,3.6800000000000055,1.5183099349531517
dhaka_lcs,Dhaka,15,lognormal_delta_ci,0.95,365,0.9465,0.9105068493150684,1.6000000000000014,5.180767123287671,2.6699999999999946,1.5183099349531517
dhaka_lcs,Dhaka,20,arithmetic_mean_ci,0.68,345,0.6797,0.6724228985507246,0.6699999999999928,1.3292463768115945,1.3400000000000079,1.1679671717171765
dhaka_lcs,Dhaka,20,arithmetic_mean_ci,0.9,345,0.8942,0.8838866666666667,0.6800000000000028,1.7834492753623197,1.8500000000000072,1.1679671717171765
dhaka_lcs,Dhaka,20,arithmetic_mean_ci,0.95,345,0.9416,0.9312365217391304,0.8599999999999941,1.9587246376811565,2.0999999999999908,1.1679671717171765
dhaka_lcs,Dhaka,20,lognormal_delta_ci,0.68,345,0.6646,0.6667220289855073,4.620000000000002,5.728144927536233,8.37,1.2338602764554558
dhaka_lcs,Dhaka,20,lognormal_delta_ci,0.9,345,0.8978,0.8917971014492754,2.5499999999999967,3.121797101449275,3.639999999999999,1.2338602764554558
dhaka_lcs,Dhaka,20,lognormal_delta_ci,0.95,345,0.947,0.9390646376811594,1.6199999999999992,2.3809565217391304,2.4900000000000033,1.2338602764554558
lucknow_lcs,Lucknow,5,arithmetic_mean_ci,0.68,365,0.6654,0.6523769863013699,1.4700000000000046,2.939506849315072,3.0100000000000016,2.621935285242248
lucknow_lcs,Lucknow,5,arithmetic_mean_ci,0.9,365,0.8911,0.8783350684931508,1.2900000000000023,2.685671232876713,2.739999999999998,2.621935285242248
lucknow_lcs,Lucknow,5,arithmetic_mean_ci,0.95,365,0.9423,0.9331378082191781,1.0700000000000043,2.147643835616437,2.169999999999994,2.621935285242248
lucknow_lcs,Lucknow,5,lognormal_delta_ci,0.68,365,0.6673,0.6548041095890411,2.090000000000003,3.7807945205479463,4.14000000000001,2.6039600399773626
lucknow_lcs,Lucknow,5,lognormal_delta_ci,0.9,365,0.9002,0.8902320547945206,1.1600000000000055,2.099643835616438,1.9900000000000029,2.6039600399773626
lucknow_lcs,Lucknow,5,lognormal_delta_ci,0.95,365,0.9506,0.9427975342465754,0.8600000000000052,1.5823835616438358,1.4799999999999924,2.6039600399773626
lucknow_lcs,Lucknow,10,arithmetic_mean_ci,0.68,365,0.6702,0.6518515068493151,1.0800000000000032,3.037589041095893,2.9000000000000026,1.7791252991368722
lucknow_lcs,Lucknow,10,arithmetic_mean_ci,0.9,365,0.8907,0.8712528767123288,1.0299999999999976,3.0839726027397276,2.7100000000000013,1.7791252991368722
lucknow_lcs,Lucknow,10,arithmetic_mean_ci,0.95,365,0.9408,0.9239301369863014,1.0000000000000009,2.8352602739726,2.489999999999992,1.7791252991368722
