sample_size,canonical_reference_mean_ugm3,madhwal_reference_mean_ugm3,madhwal_minus_canonical_reference_mean_ugm3,canonical_ape_median_pct,madhwal_ape_median_pct,madhwal_minus_canonical_ape_median_pct,canonical_ape_p95_pct,madhwal_ape_p95_pct,madhwal_minus_canonical_ape_p95_pct,canonical_absolute_error_median_ugm3,madhwal_absolute_error_median_ugm3,madhwal_minus_canonical_absolute_error_median_ugm3,canonical_absolute_error_p95_ugm3,madhwal_absolute_error_p95_ugm3,madhwal_minus_canonical_absolute_error_p95_ugm3,canonical_n_sensors_available,madhwal_n_sensors_available
26,61.802242631595966,51.46794024618637,-10.334302385409593,2.9038782048780516,1.31978673096814,-1.5840914739099117,8.524358762259217,3.7452472088443582,-4.779111553414859,1.794661853904767,0.6792670460717787,-1.1153948078329883,5.268244885039151,1.9276015955199777,-3.340643289519173,71,71
27,61.802242631595966,51.46794024618637,-10.334302385409593,2.864189263420114,1.26631399630459,-1.5978752671155239,8.310545519642254,3.56237454808553,-4.748170971556724,1.77013319800702,0.651745730947141,-1.118387467059879,5.136103506058533,1.833480803754013,-3.3026227023045203,71,71
28,61.802242631595966,51.46794024618637,-10.334302385409593,2.7876045474484297,1.2316010423666552,-1.5560035050817744,7.928501215333458,3.5362621442076687,-4.39223907112579,1.7228021260234812,0.6338796885566786,-1.0889224374668025,4.899991558149419,1.820041287329312,-3.079950270820107,71,71
29,61.802242631595966,51.46794024618637,-10.334302385409593,2.696597488232341,1.2104828300830723,-1.4861146581492686,7.707274035067163,3.491160628313856,-4.2161134067533075,1.6665577224748738,0.6230105796775014,-1.0435471427973724,4.763268199434204,1.7968284660789602,-2.9664397333552444,71,71
30,61.802242631595966,51.46794024618637,-10.334302385409593,2.6043826101190395,1.1808347767403555,-1.423547833378684,7.497034639625777,3.301990649536969,-4.195043990088808,1.6095668597608608,0.6077513372989145,-1.0018155224619463,4.633335538156319,1.6994665744383488,-2.9338689637179707,71,71
31,61.802242631595966,51.46794024618637,-10.334302385409593,2.548193044413918,1.1175118606186092,-1.4306811837953086,7.1743101312608895,3.1789994804475383,-3.995310650813351,1.574840448030141,0.5751603366672313,-0.9996801113629097,4.433884554465026,1.636165553023314,-2.797719001441712,71,71
32,61.802242631595966,51.46794024618637,-10.334302385409593,2.4417414955661862,1.110592760845818,-1.3311487347203683,7.051753677321727,3.1484712320302295,-3.903282445291498,1.5090510035261744,0.5715992185305971,-0.9374517849955772,4.358141917440865,1.6204532923696866,-2.7376886250711787,71,71
33,61.802242631595966,51.46794024618637,-10.334302385409593,2.4324730313017455,1.070613589677258,-1.3618594416244876,6.825970888877844,3.094519634788237,-3.731451254089607,1.503322884753242,0.551022762602642,-0.9523001221506,4.218603090706393,1.5926855165393148,-2.6259175741670786,71,71
34,61.802242631595966,51.46794024618637,-10.334302385409593,2.3330730903173835,1.0715026687532596,-1.261570421564124,6.54316128952474,3.0363676020842534,-3.5067936874404864,1.4418914920504236,0.5514803532902199,-0.8904111387602036,4.043820415928743,1.5627558630952856,-2.4810645528334576,71,71
35,61.802242631595966,51.46794024618637,-10.334302385409593,2.2724583327379673,1.0225723705286611,-1.2498859622093061,6.449630577786437,2.902134043234621,-3.5474965345518163,1.404430212500639,0.5262969366377028,-0.8781332758629361,3.986016338525179,1.4936686152362273,-2.4923477232889515,71,71
