city,threshold_missing_pct,start_date,end_date,duration_days,mean_missing_pct,max_missing_pct,mean_pm25_ugm3,mean_spatial_cv
Lucknow,25.0,2022-08-05,2022-08-07,3,27.601721439749618,29.870892018779337,27.567565197187076,0.18561057139845813
Lucknow,25.0,2022-05-27,2022-05-29,3,27.640845070422543,29.0492957746479,32.70002803186813,0.2148119694784859
Lucknow,25.0,2022-07-30,2022-08-01,3,27.719092331768387,28.169014084507037,14.351541843883894,0.25471907269588173
Lucknow,25.0,2022-06-26,2022-06-28,3,27.269170579029726,27.875586854460078,35.52810461693825,0.16256330467085717
Lucknow,25.0,2022-05-21,2022-05-23,3,26.38888888888888,27.523474178403728,21.449851175674308,0.25048673891765655
Lucknow,25.0,2022-10-05,2022-10-06,2,28.49178403755869,30.223004694835687,5.5358100338210745,0.4645343893796886
Lucknow,25.0,2022-06-21,2022-06-22,2,27.14201877934272,28.579812206572765,23.776935820132714,0.27430486328140036
Lucknow,25.0,2023-01-22,2023-01-23,2,26.6725352112676,27.347417840375588,108.17569145411268,0.260112612974899
Lucknow,25.0,2022-09-16,2022-09-16,1,36.5023474178404,36.5023474178404,8.252508768379569,0.43891799988189495
Lucknow,25.0,2022-10-10,2022-10-10,1,27.87558685446009,27.87558685446009,9.222611159094775,0.3394048818506599
Lucknow,25.0,2022-06-19,2022-06-19,1,26.34976525821594,26.34976525821594,18.36380935004656,0.1735364463446176
Lucknow,25.0,2022-08-10,2022-08-10,1,26.056338028169012,26.056338028169012,8.092560301037329,0.4235629192524011
Lucknow,25.0,2022-05-18,2022-05-18,1,25.05868544600941,25.05868544600941,36.83485431139155,0.18092107770175747
