network,scenario,n,period_mdape_pct,daily_fraction_days_mdape_le_10,daily_valid_days_evaluated,m5_seed
chicago_lcs_raw,S1_daily_18h,200,0.36437740834310484,1.0,242,63240004
chicago_lcs_raw,S2_daily_12h,1,7.740840150418111,0.4132231404958678,242,842467058
chicago_lcs_raw,S2_daily_12h,2,5.527478620942117,0.6363636363636364,242,842467058
chicago_lcs_raw,S2_daily_12h,3,4.728543451552766,0.7520661157024794,242,842467058
chicago_lcs_raw,S2_daily_12h,5,3.704264926885643,0.859504132231405,242,842467058
chicago_lcs_raw,S2_daily_12h,7,3.219951742736379,0.9214876033057852,242,842467058
chicago_lcs_raw,S2_daily_12h,10,2.736894034925265,0.9586776859504132,242,842467058
chicago_lcs_raw,S2_daily_12h,15,2.2672056900956283,0.9669421487603306,242,842467058
chicago_lcs_raw,S2_daily_12h,20,1.9492322505831874,0.9793388429752066,242,842467058
chicago_lcs_raw,S2_daily_12h,30,1.6075148284763776,0.987603305785124,242,842467058
chicago_lcs_raw,S2_daily_12h,40,1.3378792862519453,0.9958677685950413,242,842467058
chicago_lcs_raw,S2_daily_12h,50,1.1772667120777518,0.9958677685950413,242,842467058
chicago_lcs_raw,S2_daily_12h,75,0.9231507999092401,1.0,242,842467058
chicago_lcs_raw,S2_daily_12h,100,0.7495086515928535,1.0,242,842467058
chicago_lcs_raw,S2_daily_12h,150,0.5181409930140819,1.0,242,842467058
chicago_lcs_raw,S2_daily_12h,200,0.3662492281548425,1.0,242,842467058
chicago_lcs_raw,S3_annual_75pct,1,7.502925350735333,0.4279835390946502,243,1231693774
chicago_lcs_raw,S3_annual_75pct,2,5.353589074521491,0.6419753086419753,243,1231693774
chicago_lcs_raw,S3_annual_75pct,3,4.573770041016388,0.7407407407407407,243,1231693774
chicago_lcs_raw,S3_annual_75pct,5,3.632780573146184,0.8518518518518519,243,1231693774
chicago_lcs_raw,S3_annual_75pct,7,3.1703547762184643,0.9135802469135802,243,1231693774
chicago_lcs_raw,S3_annual_75pct,10,2.6863671384224963,0.9629629629629629,243,1231693774
chicago_lcs_raw,S3_annual_75pct,15,2.248390509942314,0.9629629629629629,243,1231693774
chicago_lcs_raw,S3_annual_75pct,20,1.938484519003389,0.9794238683127572,243,1231693774
chicago_lcs_raw,S3_annual_75pct,30,1.5673136095722788,0.9917695473251029,243,1231693774
chicago_lcs_raw,S3_annual_75pct,40,1.350287293947711,0.9958847736625515,243,1231693774
chicago_lcs_raw,S3_annual_75pct,50,1.1791825619709777,0.9958847736625515,243,1231693774
chicago_lcs_raw,S3_annual_75pct,75,0.8944890324946897,1.0,243,1231693774
chicago_lcs_raw,S3_annual_75pct,100,0.7238783122345194,1.0,243,1231693774
chicago_lcs_raw,S3_annual_75pct,150,0.5017899518947804,1.0,243,1231693774
chicago_lcs_raw,S3_annual_75pct,200,0.3339746918321438,1.0,243,1231693774
chicago_lcs_raw,S4_daily_18h_annual_75pct,1,7.417406665350396,0.43388429752066116,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,2,5.409589203540687,0.640495867768595,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,3,4.521234180962013,0.7520661157024794,242,3505125387
