variant,sample_size,n_sensors_available,n_draws,seed,reference_mean_ugm3,ape_median_pct,ape_p95_pct,absolute_error_median_ugm3
corrected_collapsed,1,280,10000,4283127819,10.254909267426997,5.212984753575869,19.24240935642408,0.5345868566040082
corrected_collapsed,2,280,10000,2027721109,10.254909267426997,3.866384330237084,13.239271314091212,0.396494204995828
corrected_collapsed,3,280,10000,1548057123,10.254909267426997,3.232197102542547,11.252585614246163,0.3314588802101426
corrected_collapsed,5,280,10000,9600412,10.254909267426997,2.5972327401585287,9.092334524783592,0.2663438609671651
corrected_collapsed,7,280,10000,2546378307,10.254909267426997,2.2340182085198927,7.843163510166011,0.22909654030151305
corrected_collapsed,10,280,10000,707594168,10.254909267426997,1.9419547906423211,6.7423536018882455,0.19914570179482194
corrected_collapsed,15,280,10000,1575092432,10.254909267426997,1.604857432280196,5.214813319176738,0.16457667355189276
corrected_collapsed,20,280,10000,3635576030,10.254909267426997,1.3957278126189132,4.603138670331155,0.14313062080431305
corrected_collapsed,30,280,10000,1135148348,10.254909267426997,1.1525242434973912,3.6045314452057418,0.11819031545575687
corrected_collapsed,40,280,10000,3122836123,10.254909267426997,0.9953695759517205,3.044203034013691,0.1020742468894218
corrected_collapsed,50,280,10000,79488420,10.254909267426997,0.8967939194444216,2.619117335006574,0.09196540275482779
corrected_collapsed,75,280,10000,2127357230,10.254909267426997,0.7095473974910116,2.029271499385594,0.07276344182209282
corrected_collapsed,100,280,10000,227245011,10.254909267426997,0.5872967935358395,1.640677131561304,0.060226753307608405
corrected_collapsed,150,280,10000,927648780,10.254909267426997,0.403184763909199,1.1357308395497063,0.04134623171897811
corrected_collapsed,200,280,10000,4132690798,10.254909267426997,0.2648836299144106,0.7741818821283153,0.027163575911989923
corrected_no_collocation,1,277,10000,59774491,10.253490712654873,5.4301004516347735,18.424890306156218,0.5567748454962018
corrected_no_collocation,2,277,10000,3331171348,10.253490712654871,3.8367681867847345,13.357279504411718,0.3934026696980695
corrected_no_collocation,3,277,10000,105782730,10.253490712654871,3.2222263260098707,10.73433797465598,0.3303906770781424
corrected_no_collocation,5,277,10000,4127149546,10.253490712654871,2.586898030568394,9.070439696448076,0.2652473493101821
corrected_no_collocation,7,277,10000,3196046654,10.253490712654871,2.271171585804873,7.743593618833683,0.232874367618959
corrected_no_collocation,10,277,10000,1806679637,10.253490712654871,1.904132930486043,6.628507701647891,0.1952400931839895
corrected_no_collocation,15,277,10000,792592023,10.253490712654871,1.6375478100610186,5.340934688051972,0.1679058126198898
corrected_no_collocation,20,277,10000,860619209,10.253490712654871,1.4162506069592076,4.606137572771416,0.1452151244524806
corrected_no_collocation,30,277,10000,1609248159,10.253490712654871,1.170584222613046,3.613594727174266,0.1200257445494319
corrected_no_collocation,40,277,10000,1088724248,10.253490712654871,0.9961328897836366,3.0280745105899314,0.1021383933396657
corrected_no_collocation,50,277,10000,3690907011,10.253490712654871,0.8806592927335886,2.595518183669333,0.0902983187905706
corrected_no_collocation,75,277,10000,2612722001,10.253490712654871,0.6800051618059264,1.9771824775178892,0.0697242661113444
corrected_no_collocation,100,277,10000,1683611689,10.253490712654871,0.5773549115845245,1.6246636042145115,0.0591990322383759
corrected_no_collocation,150,277,10000,262336471,10.253490712654871,0.401011832427751,1.1279243912578891,0.0411177109946265
