Sensor_ID,Station_Name,Latitude,Longitude
DPQLM7176,Lake View 1,41.9486371,-87.67224304234
DPQMK5751,Avondale 1,41.9413011,-87.71842453477
DPWHE0976,Fuller Park 1,41.81472425,-87.63492704557
DQABT4506,Riverdale 2,41.66370695,-87.60544860892
DQAJZ3770,Logan Square 2,41.92201145,-87.67250156058
DQGPJ5322,Beverly 5,41.70266025,-87.69255586271
DQIUL8061,South Shore 1,41.7641265,-87.5857492
DQJDZ1252,West Pullman 1,41.67590428555,-87.65402778762
DQJVA6225,Jefferson Park 1,41.9889689,-87.76288502645
DQRVM2041,West Englewood 3,41.76433305,-87.67013475649
DQTUI1287,Hegewisch 4,41.6496509,-87.55276648075
DQUUS8611,West Town 4,41.8948325,-87.67276417878
DQVFE3070,Englewood 4,41.7643842,-87.63615245585
DQVGW1846,South Lawndale 3,41.8403843,-87.71981834947
DQWCU6663,Austin 6,41.865808,-87.77006790729
DQXJA8041,Archer Heights 3,41.80260805,-87.72071352115
DQZEA3135,South Deering 8,41.68798065,-87.58826181539
DQZIL1804,Brighton Park 2,41.8150889,-87.68617463895
DRCQU4244,Roseland 5,41.68869904102,-87.63708150084
DRCSL7614,Jefferson Park 3,41.97629145,-87.7806628029
DRDMU5348,Washington Heights 3,41.71400135,-87.63668979965
DRDZF3698,Austin 1,41.9157582,-87.76919201601
DRHPF2920,South Deering 4,41.68783235,-87.55325261923
DRILK5150,East Garfield Park 1,41.87824475,-87.71895694228
DRJGY6541,West Elsdon 1,41.7903099,-87.73683774404
DRJPX9457,South Deering 5,41.6767009,-87.55354965902
DRQFY3540,Lower West Side 4,41.84002135,-87.66866860578
DRRDD3500,Hegewisch 6,41.66298535,-87.55350110056
DRUBP9408,South Deering 2,41.7134615385,-87.55271837533
DRYBG8957,McKinley Park 2,41.82758035,-87.66937111953
DRZTP3103,Austin 7,41.87855645,-87.77003805377
DSHWY2305,Irving Park 3,41.9490356,-87.72654561437
DSHYP2656,Auburn Gresham 2,41.75200485,-87.65331955036
DSKDX3738,Armour Square 3,41.8283089,-87.63464506378
DSKEW3707,Washington Heights 2,41.72629795,-87.63656666475
DSMXS8409,Calumet Heights 2,41.7259095,-87.56951339891
DSSQU9498,Near North Side 4,41.89454935,-87.63665349659
DSZQR8376,Hegewisch 1,41.67519010855,-87.53588600368
DTCRA7818,West Lawn 1,41.7772479,-87.73660460279
DTFVD6048,Riverdale 1,41.67589005,-87.60362888146
DTKNM4892,Beverly 3,41.7059059,-87.65691952734
DTQTJ0507,Douglas 1,41.8404121,-87.61910230081
DTUGZ9693,Lake View 3,41.93498346759,-87.63645802882
DTVYY1142,Lower West Side 3,41.85322215,-87.65232092746
DTYDP5264,Norwood Park 1,41.9884148,-87.81462388174
DUBCZ6179,Humboldt Park 5,41.8910837,-87.73674123708
DUDWN9545,Ashburn 2,41.75226525,-87.72071577079
DUGYZ8163,Ashburn 4,41.7524136,-87.68538850711
DUIZW8642,Norwood Park 5,41.9764404,-87.81663050627
DUNKA8014,North Park 3,41.9803401,-87.74288842798
DUSKD5383,Dunning 2,41.9494264,-87.81722894476
DUUZN2841,Logan Square 3,41.9218112,-87.69063657846
DUVHI0112,Loop 1,41.88099208346,-87.636806094
DUXLQ7589,Albany Park 1,41.9752872,-87.72557704251
DVCHA9392,Gage Park 3,41.78987765,-87.68662485
DVCMB9343,Belmont Cragin 2,41.9356698,-87.7630005645
DVNGV1890,Roseland 2,41.71389143635,-87.61998237196
DVPEA0040,Auburn Gresham 1,41.75224785,-87.66918975846
DVPZF1960,Near West Side 4,41.86523824401,-87.63522699006
DVRBW4874,Logan Square 1,41.92963275,-87.71893702782
DVWMK9661,Humboldt Park 4,41.89083265,-87.71959863711
DWBTT8209,Edison Park 1,42.017003,-87.816509
DWCTD3003,East Side 4,41.68755215,-87.53597050294
DWEIE9311,Bridgeport 2,41.8278059,-87.65209362443
DWEWU1433,Austin 9,41.9037571,-87.76961617758
DWFRI5691,Humboldt Park 1,41.9036584,-87.7359956871
DWGYM0810,Avalon Park 1,41.7505205,-87.58579258994
