target_N_star,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_ape_median_pct,baseline_absolute_error_median_ugm3
40,26,2.2038607434422133,1.853305552866742,2.0840646165568235,2.3467094689761585,2.498182261764356,2.1960356559292533,0.19710077522446656,100,2.9038782048780516,1.794661853904767
40,27,2.090299284223391,1.7543828425826242,1.9608463048823,2.2131557444421386,2.3399828205253907,2.074097406894327,0.18827911852385149,100,2.864189263420114,1.77013319800702
40,28,1.9599942064204185,1.6386960641957593,1.842584537819135,2.0777994242707223,2.229718376059224,1.9527911020017905,0.17928912399839042,100,2.7876045474484297,1.7228021260234812
40,29,1.8466014383892717,1.5603493871998109,1.736421050591299,1.9696452699958737,2.0892157478242193,1.841300529163951,0.16969888032559666,100,2.696597488232341,1.6665577224748738
40,30,1.7272885971768375,1.464950101724552,1.6302400713024752,1.8329942662342562,1.9444018710324544,1.7233273425298623,0.1572613749194578,100,2.6043826101190395,1.6095668597608608
50,2,12.623302896847994,11.36031395234619,12.084196240460017,13.105248768353311,13.879181454313523,12.60255294328161,0.8288197829807676,100,12.22688535272032,7.55648935197528
50,3,10.543651837971467,9.331069221399783,10.07029863488379,10.919757548025249,11.476127826441942,10.476718049974854,0.6338416648892337,100,10.406241274070622,6.431290481030409
50,4,9.113891744819158,8.113919076438876,8.657142735140035,9.418978224279813,9.879635598034822,9.05614135473353,0.545046798261887,100,8.899538882547661,5.50011461328533
50,5,8.129206936245662,7.368037072133839,7.768702079893092,8.338784229665638,8.671386957689299,8.056325947837092,0.4652560643044548,100,7.975001654931881,4.928729872654795
50,6,7.351173234238978,6.5336446843481655,6.987451188308469,7.590223761132973,7.87042743548678,7.274419085559071,0.42061626877005337,100,7.2365949368086815,4.47237796111229
50,7,6.727956019801764,6.071254524969994,6.453564317395902,6.962966538016963,7.200901518991629,6.682282458992198,0.37582636823790955,100,6.741922737625782,4.166659448342223
50,8,6.234465614886045,5.683454102459884,5.979270280113143,6.447730504336585,6.687109618862635,6.187807890077682,0.3414893636157476,100,6.398127666712988,3.954186384461231
50,9,5.823266258532197,5.214432218560074,5.575591092929881,5.954209360195147,6.221434853733049,5.757931160232099,0.3172644900724237,100,5.794423997565589,3.581083978078908
50,10,5.439313220501225,4.926333714968107,5.206442407218205,5.631954862181408,5.846133218196183,5.407700746264129,0.30743049389170224,100,5.64059527866875,3.486014379989207
50,11,5.125008909263325,4.566521658504871,4.876671675938926,5.2688901364876015,5.503712285399586,5.081063210653032,0.28964946434575095,100,5.357137497458326,3.310831114287403
50,12,4.86012481885809,4.3703827486196065,4.630386948688637,4.990734197645557,5.213298661849318,4.816706701915164,0.2634490039287837,100,4.891025348412384,3.022763352998684
50,13,4.605595133742183,4.121210184401613,4.400989268628903,4.715957657844194,4.949114054333671,4.557169917273613,0.2614786939222874,100,4.7927167824910155,2.962006454560317
50,14,4.368659000135013,3.8941410984888054,4.189856508651282,4.504831463216288,4.68612548395035,4.335933860601951,0.24435124336205952,100,4.624872707384435,2.85827505202019
50,15,4.164538961386439,3.77801599633252,3.968350222883427,4.3029305278992185,4.451549244785113,4.135833467550979,0.2309419403704937,100,4.270163298206924,2.639056682323204
50,16,3.9818139903910046,3.5661059559448063,3.806247594424538,4.077470153126014,4.2595303191365215,3.934654200712539,0.21511551452268363,100,4.132439577260514,2.5539403341426414
50,17,3.8226606327846633,3.418952170036565,3.6296871468699767,3.903932895153989,4.075336098750952,3.7727566339487297,0.21325275062539092,100,3.9023306894661953,2.41172788099113
50,18,3.616604373060919,3.2412840774329656,3.4617627287472725,3.7533537262845362,3.9008372741480883,3.603611333930275,0.21287433522774077,100,3.86965589734964,2.391534126687887
50,19,3.4870837597100963,3.1245303123492354,3.3285769383735593,3.6059293105144814,3.7273463829314473,3.458945945009771,0.19473358737512764,100,3.71198043395444,2.294087154229892
50,20,3.3425117701563836,2.9876341401522577,3.1786761562586823,3.4364459649902854,3.581752550819291,3.313530911999917,0.18720260106665385,100,3.60928260486568,2.2306175927190743
50,21,3.210760276508416,2.854641601112292,3.0760764812595065,3.3049706737700477,3.433358499384717,3.182414236832325,0.1800846337894805,100,3.377056458192568,2.087096626098152
50,22,3.0733602671570206,2.7757708510087626,2.9284604175755446,3.1749408695634034,3.305285546766276,3.052826665255908,0.17120647778672957,100,3.320105031335766,2.0518993670899555
50,23,2.9479895605140563,2.6675988923507643,2.831978523856911,3.036234314058581,3.1524694561898317,2.928751082185219,0.16358778903894938,100,3.299415346795855,2.0391126780508877
50,24,2.842611587550701,2.5764787504646094,2.727775313402179,2.938958552919215,3.0442691237550292,2.81816786187493,0.1550795572283976,100,3.145186825084545,1.9437959928557405
50,25,2.7223275396423516,2.4553681889954873,2.607655330056935,2.8061230777889925,2.9117067664274874,2.704538859162389,0.149066900835067,100,3.075812853471529,1.9009213225962895
50,26,2.6251942507496184,2.34929263714097,2.5201021935189063,2.702784033430077,2.799544041971344,2.6018486481156144,0.1479927706969725,100,2.9038782048780516,1.794661853904767
50,27,2.5157930516027065,2.263619224259335,2.4127517354041146,2.608930263521254,2.6933016691968628,2.4961135245726296,0.1441812874043063,100,2.864189263420114,1.77013319800702
50,28,2.4200524210272047,2.191137261481672,2.2977067672557308,2.486903782486003,2.571144991215266,2.3939908086199506,0.13724679335090048,100,2.7876045474484297,1.7228021260234812
50,29,2.309870516234751,2.0752944228506753,2.1955547353751736,2.386385324539366,2.4767891322216977,2.295947208366767,0.1279353872307593,100,2.696597488232341,1.6665577224748738
50,30,2.2305346028435293,2.0188044507388603,2.1210896453010717,2.276327604473252,2.3722841374223984,2.2087443340103246,0.11958996200877312,100,2.6043826101190395,1.6095668597608608
