target_N_star,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_ape_median_pct,baseline_absolute_error_median_ugm3
50,2023-03-23,5,7.916071792882024,6.459790857247767,7.261628486231892,8.415943848936458,9.00434078362906,7.851705367297998,0.7757299228607087,100,8.17121925058947,2.509044853448623
50,2023-03-23,10,5.118978308974221,4.149253187653783,4.640642496455088,5.445755024283381,5.7683105148647185,5.051248271871093,0.5110202488397588,100,5.340033236288475,1.639704247048277
50,2023-03-23,20,2.6120862174907096,2.029092618666827,2.353731003550513,2.802043986066983,2.968314756295332,2.563863091990234,0.3110755224409624,100,3.203606124262218,0.9836954819168202
50,2023-03-24,5,7.950041789268258,6.3434974787742435,7.197147165402287,8.456545203697676,8.95365346179636,7.808956506921416,0.8397251955490943,100,8.145827662886816,3.004375000000003
50,2023-03-24,10,5.1806469096521734,4.061553020511283,4.581748810300214,5.456294970369919,5.727213565062573,5.020254557517867,0.5656620100992072,100,5.392099068102562,1.9887343936256985
50,2023-03-24,20,2.6295669872677574,1.9256089071102418,2.3273553810336383,2.839455752173042,2.9422943954655745,2.554587901614022,0.33881853839111936,100,3.18501829897886,1.1747105080054503
50,2023-03-25,5,7.594054630347367,5.919133584568741,6.8228371786180615,8.02509689155541,8.685708206902984,7.438761541924077,0.8328554330053254,100,7.448942881024305,2.20508214365962
50,2023-03-25,10,5.046290680236635,3.7733552950433733,4.351224761736006,5.3309326201380625,5.638786485842412,4.886350496546391,0.5951987455864175,100,5.112356484553068,1.5133913866930158
50,2023-03-25,20,2.5293531714919046,1.8261161888374153,2.192564177710664,2.7246841986735184,2.8773112851223157,2.437069784999567,0.35665496903637184,100,3.117851208930217,0.922965598905785
50,2023-03-26,5,8.818024922304465,7.068535692584733,8.23345023275455,9.2343332341273,9.950656568981358,8.66951763199265,0.873372097034607,100,8.628588860237876,2.098613267770874
50,2023-03-26,10,5.613850104909425,4.488968143888193,5.243137389126621,5.965755530395431,6.32678068446109,5.530429771552743,0.5811395961998105,100,5.963199641083156,1.4503472222222236
50,2023-03-26,20,2.852733237218531,2.2306831298224865,2.575917949413553,3.1054502417326777,3.2850626051658502,2.819212454016051,0.35468121426608773,100,3.495784834396118,0.8502317764313609
