Sensor_ID,Latitude,Longitude,Station_Name,value_pm25_ug_m3,network,panel,start_date,end_date,n_dates_available_for_network
DIUZJ7853,41.7903843,-87.77048382046,Garfield Ridge 2,5.43,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIVZD0266,41.81559185,-87.736277095,Archer Heights 1,6.61,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIWKR9442,41.7626353,-87.73788222688,West Lawn 4,6.62,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIWYY0447,41.9896707,-87.69002591531,West Ridge 4,5.3,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIXEX6164,41.72612465,-87.5862367414,Calumet Heights 1,5.44,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIXUN6634,41.7521062,-87.70393644313,Ashburn 3,6.47,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DIZEF3591,41.67596525,-87.62018065,West Pullman 3,5.12,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DJCYU2364,41.82725075,-87.61890358618,Douglas 2,5.61,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DJGDZ3688,41.70133845,-87.61992013972,Roseland 3,6.33,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DJHFB1439,41.66730025,-87.56938199593,South Deering 6,6.74,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DJIHM1001,41.9083288,-87.6905694159,West Town 1,6.55,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DJJVG1917,41.9893028,-87.67229309826,Edgewater 1,6.38,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DJKZD4256,41.67869235,-87.67466474951,Morgan Park 3,4.35,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DJSLY4013,41.85292095,-87.70311062197,South Lawndale 1,5.86,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DJWGZ0445,41.81458865,-87.61885441048,Grand Boulevard 1,5.7,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DKDJK5693,41.726565,-87.61949170539,Roseland 1,6.36,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DKHYU9123,41.7775443,-87.75395070108,Clearing 3,5.84,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DKIJX6114,41.9756734,-87.69009047047,Lincoln Square 1,4.6,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DKISS7174,41.7898683,-87.72002286796,West Elsdon 2,6.62,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DKNMF4367,41.82675732205,-87.60127391431,Oakland 1,5.92,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
