run_key,city,selection_strategy,selection_strategy_label,time_aggregation,sample_size,row_count,n_outer_draws,n_days,selected_ref_mdape_median_pct,full_ref_mdape_median_pct,mdape_delta_median_pctpt,selected_ref_abs_median_ugm3,full_ref_abs_median_ugm3,abs_delta_median_ugm3,reference_mean_delta_median_ugm3,mdape_delta_p95_pctpt,abs_delta_p95_ugm3
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,8,20,20,0,2.329150430628996,2.617960539247438,0.23510208927706322,0.23381476413370228,0.27657878074077136,0.039658384394902324,0.5187732977888322,0.6386001691607511,0.08353419166636059
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,9,20,20,0,2.2171386264110633,2.4801109517415667,0.31685131405310507,0.22152067957868482,0.26201543256710025,0.04588505264599174,0.5187732977888322,0.7393246418996591,0.09322168055141959
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,10,20,20,0,2.100291051106337,2.3620918503028108,0.3579607254766106,0.2092007494599346,0.24954710896531074,0.04840317052267773,0.5187732977888322,0.8808652511765722,0.10722914771630958
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,11,20,20,0,2.0001390121930074,2.3038132241277918,0.3950186726630063,0.19922785133418985,0.24339016689949666,0.05188692499113223,0.5187732977888322,0.9782420038582046,0.11674281023280729
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,12,20,20,0,1.8730860884185287,2.228434813794308,0.4758151668287054,0.1873431342733487,0.23542668979139414,0.0598569700331435,0.5187732977888322,1.1056523197161803,0.12954965210149202
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,13,20,20,0,1.8331742249931633,2.2492349995930665,0.49254838818241764,0.18288546070924427,0.23762415989881447,0.06122113022247344,0.5187732977888322,1.166960062212869,0.13554356089318384
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,14,20,20,0,1.756999126522408,2.1692447844234835,0.574463681964993,0.17501278940355158,0.2291734610242031,0.07096711614790374,0.5187732977888322,1.3338167358358748,0.15192342891329239
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,15,20,20,0,1.6674849254442834,2.116268523884502,0.6342003465696817,0.16609557497035876,0.22357669616529163,0.07511542991045683,0.5187732977888322,1.4129754796423346,0.16038396130840687
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,16,20,20,0,1.5891972942842396,2.126753534250414,0.6188440738974111,0.1582950452958669,0.22468440246551413,0.07494763026297147,0.5187732977888322,1.465495481819715,0.1656226521675917
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,17,20,20,0,1.5204845964579197,2.0981272543496705,0.7393844458451442,0.15169896488602452,0.22166013167403475,0.08496372799256013,0.5187732977888322,1.5822171191764784,0.17746688737122235
