city,dataset_key,resolution,weight_scheme,scheme_type,parameter,time_windows_available,time_windows_sampled,time_windows_tested,n_permutations,alpha,median_observed_morans_i,p10_observed_morans_i,p90_observed_morans_i,positive_sig_pct,negative_sig_pct,two_sided_sig_pct,median_p_positive,median_p_two_sided,median_valid_sensor_count,min_valid_sensor_count,scenario,scenario_description,sensors_retained,baseline_median_observed_morans_i,baseline_positive_sig_pct,baseline_two_sided_sig_pct,delta_median_observed_morans_i,delta_positive_sig_pct,delta_two_sided_sig_pct
Dhaka,dhaka_lcs,highest_hourly,band_10km,distance_band,10,8760,120,120,199,0.05,-0.02414605789021426,-0.05844171018629646,0.03150551391097734,24.166666666666668,1.6666666666666667,20.0,0.23249999999999998,0.335,28.0,11.0,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,31,-0.021260758999508605,25.0,20.0,-0.002885298890705653,-0.8333333333333321,0.0
Dhaka,dhaka_lcs,highest_hourly,knn_4,k_nearest_neighbor,4,8760,120,120,199,0.05,-0.00452588795193745,-0.10732264379819431,0.16202211110143966,9.166666666666666,1.6666666666666667,5.833333333333333,0.33,0.545,28.0,11.0,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,31,0.0009813439935246974,10.0,5.0,-0.005507231945462147,-0.8333333333333339,0.833333333333333
Dhaka,dhaka_lcs,highest_hourly,knn_5,k_nearest_neighbor,5,8760,120,120,199,0.05,-0.01342828720963652,-0.128327826689772,0.13275932112483288,10.833333333333334,2.5,6.666666666666667,0.3375,0.43,28.0,11.0,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,31,-0.018612125608032,13.333333333333334,8.333333333333332,0.0051838383983954794,-2.5,-1.6666666666666652
Dhaka,dhaka_lcs,highest_hourly,knn_8,k_nearest_neighbor,8,8760,120,120,199,0.05,-0.00692804000194966,-0.09596089905580533,0.11328277764391137,17.5,1.6666666666666667,11.666666666666666,0.25,0.31,28.0,11.0,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,31,-0.0072428054839526945,17.5,13.333333333333334,0.00031476548200303454,0.0,-1.6666666666666679
Dhaka,dhaka_lcs,daily,band_2km,distance_band,2,365,240,240,199,0.05,0.046090344859955446,-0.09766074565327164,0.18429120681376931,6.25,0.0,2.083333333333333,0.2525,0.43,30.0,12.0,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,31,0.07025383696705616,7.083333333333333,2.083333333333333,-0.024163492107100712,-0.833333333333333,0.0
Dhaka,dhaka_lcs,daily,band_5km,distance_band,5,365,240,240,199,0.05,0.00866125464735106,-0.05657131931085048,0.10132701988299672,23.333333333333332,1.25,15.833333333333332,0.195,0.35,30.0,12.0,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,31,-0.003978487981036371,18.333333333333332,10.833333333333334,0.012639742628387431,5.0,4.999999999999998
Dhaka,dhaka_lcs,daily,band_10km,distance_band,10,365,240,240,199,0.05,-0.024773798733177255,-0.05547993852672812,0.025184841058501568,20.416666666666668,2.5,14.166666666666666,0.26,0.39,30.0,12.0,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,31,-0.02597399941996785,11.666666666666666,9.166666666666666,0.001200200686790595,8.750000000000002,5.0
Dhaka,dhaka_lcs,daily,knn_4,k_nearest_neighbor,4,365,240,240,199,0.05,-0.0019024367718044409,-0.10681285799731093,0.14692748557145568,7.5,0.4166666666666667,3.3333333333333335,0.3425,0.495,30.0,12.0,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,31,-0.03039922149174855,4.166666666666666,2.9166666666666665,0.02849678471994411,3.333333333333334,0.41666666666666696
Dhaka,dhaka_lcs,daily,knn_5,k_nearest_neighbor,5,365,240,240,199,0.05,-0.014221017172640505,-0.10016677632503586,0.10730160953562234,6.25,0.0,2.9166666666666665,0.36,0.515,30.0,12.0,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,31,-0.03960651589355024,3.75,3.75,0.025385498720909738,2.5,-0.8333333333333335
Dhaka,dhaka_lcs,daily,knn_8,k_nearest_neighbor,8,365,240,240,199,0.05,-0.0018359344842373553,-0.07281079235065407,0.09452738359419055,12.5,0.4166666666666667,5.833333333333333,0.255,0.445,30.0,12.0,record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records; daily value kept with at least one valid hourly record.,31,-0.016351079012556537,5.833333333333333,2.5,0.01451514452831918,6.666666666666667,3.333333333333333
Dhaka,dhaka_lcs,daily,band_2km,distance_band,2,365,240,240,199,0.05,0.040024373709808464,-0.09987651918712082,0.1848405796572552,7.083333333333333,0.4166666666666667,1.6666666666666667,0.26,0.46,28.0,11.0,daily_ge_18h_record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records and require at least 18 valid hourly records per retained sensor-day.,31,0.07025383696705616,7.083333333333333,2.083333333333333,-0.030229463257247693,0.0,-0.4166666666666663
