repeat_index,repeat_master_seed,experiment,phase,city,target_N_star,selection_strategy,selection_strategy_label,metric_name,aggregation,value_median,value_mean,value_sd,value_p5,value_p95,n_outer_draws,n_inner_draws,source_path,original_value_median,original_value_p5,original_value_p95,original_n_outer_draws,delta_from_original_median
1,2084131071,phase4_chicago_n50,4,Chicago,50,random,Random,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
1,2084131071,phase4_chicago_n50,4,Chicago,50,random,Random,n_for_mdape_le_5pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_01_2084131071/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
2,1535774037,phase1_chicago_n40,1,Chicago,40,random,Random,n_for_mdape_le_5pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase1_chicago_realitycheck_n40/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
2,1535774037,phase1_chicago_n40,1,Chicago,40,random,Random,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase1_chicago_realitycheck_n40/aggregated/headline_numbers.csv,2.0,2.0,2.0,50,0.0
2,1535774037,phase1_chicago_n40,1,Chicago,40,random,Random,mdape_at_n10,period,1.6484014173560024,1.707239484900594,0.4959620143399128,1.1497778193868835,2.478461616474066,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase1_chicago_realitycheck_n40/aggregated/headline_numbers.csv,1.6884122287947962,1.3014317988253896,2.997868670418696,50,-0.040010811438793814
2,1535774037,phase3_lucknow,3,Lucknow,31,random,Random,n_for_mdape_le_5pct,period,10.5,10.2,1.1352924243950933,9.0,11.55,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase3_lucknow_downsampling/aggregated/headline_numbers.csv,10.0,8.0,12.0,100,0.5
2,1535774037,phase3_lucknow,3,Lucknow,31,random,Random,n_for_mdape_le_10pct,period,4.0,3.7,0.6749485577105528,3.0,4.549999999999999,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase3_lucknow_downsampling/aggregated/headline_numbers.csv,3.0,3.0,4.0,100,1.0
2,1535774037,phase3_lucknow,3,Lucknow,31,random,Random,mdape_at_n10,period,4.955516347925444,4.9521320513592775,0.4255870680487529,4.455545582817722,5.541644994911118,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase3_lucknow_downsampling/aggregated/headline_numbers.csv,4.905200494359712,4.126941937016832,5.536995825412455,100,0.050315853565732205
2,1535774037,phase3_lucknow,3,Lucknow,50,random,Random,n_for_mdape_le_5pct,period,12.0,11.7,1.2516655570345725,9.9,13.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase3_lucknow_downsampling/aggregated/headline_numbers.csv,12.0,10.0,13.0,100,0.0
2,1535774037,phase3_lucknow,3,Lucknow,50,random,Random,n_for_mdape_le_10pct,period,4.0,3.9,0.5676462121975466,3.0,4.549999999999999,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase3_lucknow_downsampling/aggregated/headline_numbers.csv,4.0,3.0,4.0,100,0.0
2,1535774037,phase3_lucknow,3,Lucknow,50,random,Random,mdape_at_n10,period,5.4080609461937375,5.383285326316683,0.3251068305478798,4.8859383980447495,5.799612406954855,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase3_lucknow_downsampling/aggregated/headline_numbers.csv,5.439313220501225,4.926333714968107,5.846133218196183,100,-0.03125227430748723
2,1535774037,phase4_chicago_n50,4,Chicago,50,anti_cluster,Anti-cluster,mdape_at_n10,period,2.2816302026080475,2.2955446551706338,0.0418178948919421,2.2493764727517913,2.3561749581701994,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.290924180047167,2.258829847195,2.3261055615575903,20,-0.009293977439119416
2,1535774037,phase4_chicago_n50,4,Chicago,50,anti_cluster,Anti-cluster,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,20,0.0
2,1535774037,phase4_chicago_n50,4,Chicago,50,anti_cluster,Anti-cluster,n_for_mdape_le_5pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0500000000000007,20,0.0
2,1535774037,phase4_chicago_n50,4,Chicago,50,circumferential,Circumferential,mdape_at_n10,period,1.8581909886425692,1.9302938017663096,0.2415203954538258,1.6471076113026002,2.294518344731258,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.1579236267916277,1.4116793057559671,2.3747717263869794,20,-0.2997326381490586
2,1535774037,phase4_chicago_n50,4,Chicago,50,circumferential,Circumferential,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,20,0.0
2,1535774037,phase4_chicago_n50,4,Chicago,50,circumferential,Circumferential,n_for_mdape_le_5pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0500000000000007,20,0.0
2,1535774037,phase4_chicago_n50,4,Chicago,50,cluster_concentrated,Cluster-concentrated,mdape_at_n10,period,1.841358711091674,1.8288852483000329,0.1935226076276452,1.5444378322758785,2.0884986036087088,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,1.664165588561254,1.3491610201709658,2.117065141187272,20,0.17719312253041997
2,1535774037,phase4_chicago_n50,4,Chicago,50,cluster_concentrated,Cluster-concentrated,n_for_mdape_le_10pct,period,2.0,2.0,0.0,2.0,2.0,10,10000,analysis/results/finite_population_experiments/seed_stability_2026-05-29/runs/seed_02_1535774037/phase4_chicago_selection_strategies/aggregated/headline_numbers.csv,2.0,2.0,2.0,20,0.0
