dataset_key,city,period_type,sample_size,n_periods,median_period_mdape_pct,max_period_mdape_pct,median_period_absolute_error_ugm3,max_period_absolute_error_ugm3
chicago_lcs_corrected_no_collocation,Chicago,season,10,3,1.978636611378069,2.3556319036080033,0.18022049784596916,0.2909831479626215
chicago_lcs_corrected_no_collocation,Chicago,season,11,3,1.865224668216044,2.214420388444,0.1698905783747513,0.2735397727272728
chicago_lcs_corrected_no_collocation,Chicago,season,12,3,1.8248413428980974,2.1430115956066587,0.16621233702834903,0.26471888891253315
chicago_lcs_corrected_no_collocation,Chicago,season,13,3,1.7631715676308115,2.049828986723057,0.1605952583102015,0.2532083601126853
chicago_lcs_corrected_no_collocation,Chicago,season,14,3,1.6949372017882003,1.9978747122562912,0.15438025586273607,0.24679062637792892
chicago_lcs_corrected_no_collocation,Chicago,season,15,3,1.6530177393889138,1.927739909301246,0.15056209827907896,0.23812711417369226
chicago_lcs_corrected_no_collocation,Chicago,season,16,3,1.6177271883947784,1.8559218383124185,0.14734772296991494,0.22925567362946975
chicago_lcs_corrected_no_collocation,Chicago,season,17,3,1.5806310957214895,1.807793497389001,0.14396889319830564,0.2233105443727874
chicago_lcs_corrected_no_collocation,Chicago,season,18,3,1.5461160418343938,1.743462386428261,0.14082515262515383,0.21536394238008327
chicago_lcs_corrected_no_collocation,Chicago,season,19,3,1.48335014238616,1.697121976695077,0.135108235440228,0.20963967014494056
chicago_lcs_corrected_no_collocation,Chicago,season,20,3,1.4657670568100747,1.6549709792746614,0.1335067122408855,0.20443290167641592
chicago_lcs_corrected_no_collocation,Chicago,season,21,3,1.4345879185620527,1.6174829176974836,0.13066681744405706,0.19980212971580702
chicago_lcs_corrected_no_collocation,Chicago,season,22,3,1.4096765837605738,1.5736477902421422,0.1283978140635913,0.1943873264272451
chicago_lcs_corrected_no_collocation,Chicago,season,23,3,1.4004487905477179,1.553477170596313,0.127557317391652,0.19189571880726408
chicago_lcs_corrected_no_collocation,Chicago,season,24,3,1.3770097016979808,1.517378645179426,0.12542241084172545,0.1874365914934737
chicago_lcs_corrected_no_collocation,Chicago,season,25,3,1.3694176960026918,1.472302596837828,0.1247309068848157,0.18186850149432576
chicago_lcs_corrected_no_collocation,Chicago,season,26,3,1.3444816848609809,1.4594808336230114,0.12245965590502017,0.18028467296111383
chicago_lcs_corrected_no_collocation,Chicago,season,27,3,1.308504805889085,1.433142287173316,0.11918276766694014,0.17703116245000494
chicago_lcs_corrected_no_collocation,Chicago,season,28,3,1.3040102624645717,1.3816731951929189,0.11877339039731005,0.17067336164747093
chicago_lcs_corrected_no_collocation,Chicago,season,29,3,1.268472247327772,1.3823710075061764,0.1155364752691952,0.17075956001457904
chicago_lcs_corrected_no_collocation,Chicago,season,30,3,1.2741678072521232,1.34889823323705,0.11605524493067598,0.1666247827546199
dhaka_lcs,Dhaka,month,2,12,11.313557846870864,14.023305527243615,3.9309854365388777,14.480194865206983
dhaka_lcs,Dhaka,month,3,12,9.625950650963981,11.963841867067085,3.15212287666845,12.497932812462636
dhaka_lcs,Dhaka,month,4,12,8.38422561938429,11.074597182945812,2.69820505804622,11.033553055711451
dhaka_lcs,Dhaka,month,5,12,7.4068856709521445,10.325916814762596,2.364182157001464,9.828775728535568
dhaka_lcs,Dhaka,month,6,12,6.691158836642675,9.636414924574389,2.121623967070219,8.825389373526072
dhaka_lcs,Dhaka,month,7,12,6.079348836200063,9.078121914020471,1.9636630475396997,7.964943460837624
dhaka_lcs,Dhaka,month,8,12,5.603461049934204,8.652631382886197,1.7951029147389406,7.42223464028114
dhaka_lcs,Dhaka,month,9,12,5.261990215231487,8.057390860298948,1.6647541698674893,6.993206034950475
dhaka_lcs,Dhaka,month,10,12,4.89688359786939,7.632700186952549,1.535656265798611,6.479680488994241
dhaka_lcs,Dhaka,month,11,12,4.583750970344157,7.30921266980385,1.453810092127033,6.096101194530085
dhaka_lcs,Dhaka,month,12,12,4.2735005777621,6.925176748837341,1.3594118389414795,5.657519629306734
dhaka_lcs,Dhaka,month,13,12,4.004957268013957,6.542627294235206,1.285575416777645,5.261648655247228
dhaka_lcs,Dhaka,month,14,12,3.8015057920235744,6.086520330082308,1.2082292634950313,5.011406787865411
dhaka_lcs,Dhaka,month,15,12,3.60497633384359,5.796289485828554,1.1396464547702907,4.750636763789551
dhaka_lcs,Dhaka,month,16,12,3.4020988939171697,5.4061659917285905,1.0776165423262185,4.485694570141703
dhaka_lcs,Dhaka,month,17,12,3.2022652409127432,5.070447674329795,1.0190685032044708,4.200685939955079
dhaka_lcs,Dhaka,month,18,12,3.010884931616463,4.838216776576397,0.9647664334205874,3.9678899002918087
dhaka_lcs,Dhaka,month,19,12,2.8343163421810553,4.470671965330741,0.9082180494854537,3.7290913922026974
dhaka_lcs,Dhaka,month,20,12,2.674310427842933,4.106952859814378,0.8475023014569549,3.5124593100282198
dhaka_lcs,Dhaka,month,21,12,2.516816326649975,3.86843814715344,0.8044595607233482,3.300848814314868
dhaka_lcs,Dhaka,month,22,12,2.381557732360358,3.5809276964016914,0.7605920967875086,3.1273774057042445
dhaka_lcs,Dhaka,month,23,12,2.2448402453346974,3.3301479918101995,0.713768026320805,2.9686324780242117
dhaka_lcs,Dhaka,month,24,12,2.1002359536435202,3.0463967158127474,0.6683518522484775,2.765293578572006
dhaka_lcs,Dhaka,month,25,12,1.941167953211743,2.7378415187889824,0.6281385177815642,2.5528594264816107
dhaka_lcs,Dhaka,month,26,12,1.802060847000425,2.4166591490601776,0.5792490311945508,2.389966545871424
dhaka_lcs,Dhaka,month,27,12,1.6613675738812865,2.139414589539555,0.5290882033234681,2.192609341898759
dhaka_lcs,Dhaka,month,28,12,1.5274681078836982,1.8411229167849288,0.4880238647966424,2.039780641112749
dhaka_lcs,Dhaka,month,29,12,1.3803998877455537,1.6192347575394108,0.44108143223973606,1.8250521818946126
dhaka_lcs,Dhaka,month,30,12,1.1838349543479194,1.429768442026828,0.39429486559379345,1.6243282564720616
dhaka_lcs,Dhaka,season,2,4,9.864504697868675,10.534549801471787,4.150866720751814,11.577705117233506
dhaka_lcs,Dhaka,season,3,4,8.377943411881429,9.693259744642585,3.7147418614085765,10.21673339455559
dhaka_lcs,Dhaka,season,4,4,7.351516521054522,8.66561835005718,3.3074477693104942,9.20722975767957
dhaka_lcs,Dhaka,season,5,4,6.6119462672046545,7.776437232278887,2.952771044131744,8.27794051984398
dhaka_lcs,Dhaka,season,6,4,5.945447641128767,6.885158784054887,2.6463914897528085,7.510456246089902
dhaka_lcs,Dhaka,season,7,4,5.463751027551928,6.31875308945939,2.4167540099465015,6.890667900191772
dhaka_lcs,Dhaka,season,8,4,5.029530260508193,5.792028506924332,2.2153204180511423,6.37157626345423
dhaka_lcs,Dhaka,season,9,4,4.689560247578367,5.425506475240519,2.071703554566456,5.947388308121525
dhaka_lcs,Dhaka,season,10,4,4.31696741978314,5.071032233644096,1.936634065805121,5.5433549873767305
dhaka_lcs,Dhaka,season,11,4,4.072372938679176,4.678644049693091,1.800082417504374,5.222557991531495
dhaka_lcs,Dhaka,season,12,4,3.7786226684734,4.383217186252391,1.6868489096419648,4.839102307559571
dhaka_lcs,Dhaka,season,13,4,3.53360426270292,4.097688839428698,1.588769091006542,4.461233277625432
dhaka_lcs,Dhaka,season,14,4,3.3720477174228627,3.8300517208846543,1.4905617882455306,4.288094083301594
dhaka_lcs,Dhaka,season,15,4,3.1608196511787074,3.6116437026407717,1.4002398554829814,4.007720950001669
dhaka_lcs,Dhaka,season,16,4,3.0113851625713943,3.435408191693287,1.3337343672478834,3.8664981986342397
dhaka_lcs,Dhaka,season,17,4,2.8157621324458146,3.1894705784586446,1.2442669347013826,3.601721581630379
dhaka_lcs,Dhaka,season,18,4,2.66205836459437,3.040348846991615,1.1773973461534393,3.3949039610566416
dhaka_lcs,Dhaka,season,19,4,2.5160435397973036,2.9217419133517906,1.1215002023343033,3.2046198209180474
dhaka_lcs,Dhaka,season,20,4,2.397002536822012,2.726214900340734,1.0526522097406819,3.0661482100577047
dhaka_lcs,Dhaka,season,21,4,2.2454223936832087,2.579889370514543,1.0005212360016387,2.8724488544888516
dhaka_lcs,Dhaka,season,22,4,2.1327395821861757,2.418880804580952,0.9416616508408335,2.6955267385346176
dhaka_lcs,Dhaka,season,23,4,2.001822030697602,2.281706945369162,0.8844669133358938,2.515465062498542
dhaka_lcs,Dhaka,season,24,4,1.8788174581978536,2.1415940595044027,0.8261442475359484,2.37205820101525
dhaka_lcs,Dhaka,season,25,4,1.746205504082003,1.990453840296845,0.7692837048061794,2.2090407119526887
dhaka_lcs,Dhaka,season,26,4,1.6182698397596438,1.860728019250331,0.7156451337737106,2.041253908579165
dhaka_lcs,Dhaka,season,27,4,1.501390583451093,1.714366112717084,0.6628631065187012,1.9017376471948992
dhaka_lcs,Dhaka,season,28,4,1.3592555813043385,1.5546808056524228,0.6010043434576939,1.7131213174257311
dhaka_lcs,Dhaka,season,29,4,1.2433942800062465,1.4241317328477832,0.5420929210940244,1.5681759889814586
dhaka_lcs,Dhaka,season,30,4,1.1114603037241284,1.28377694644279,0.49022670646264466,1.379983286799849
lucknow_lcs,Lucknow,month,2,12,9.79755656026391,12.297797336398961,4.716888387723063,18.13509966411192
lucknow_lcs,Lucknow,month,3,12,8.220040580549576,10.39254487560976,4.048730908504931,14.987852103733644
lucknow_lcs,Lucknow,month,4,12,7.266639273303742,9.167873833971056,3.554997386141718,13.339144962225745
