dataset_key,city,hour,n_timestamps,network_mean_ugm3,network_median_ugm3,network_p25_ugm3,network_p75_ugm3,mean_valid_sensor_count,mean_missing_fraction
dhaka_lcs,Dhaka,15,365,35.980708468978854,34.973287671232875,15.719135802469136,43.92901234567902,29.76164383561644,0.1496673189823875
dhaka_lcs,Dhaka,16,365,37.743878927167465,35.92634703196347,16.71969696969697,48.19791666666667,29.991780821917807,0.14309197651663408
dhaka_lcs,Dhaka,17,365,45.603508769739314,40.15607305936073,17.683333333333334,63.07575757575758,30.112328767123287,0.13964774951076322
dhaka_lcs,Dhaka,18,365,55.47809286831672,48.01780821917808,19.901515151515152,79.8409090909091,30.136986301369863,0.13894324853228962
dhaka_lcs,Dhaka,19,365,60.64310867749385,54.15958904109589,22.47549019607843,88.41666666666667,30.364383561643837,0.1324461839530333
dhaka_lcs,Dhaka,20,365,62.67124798637105,57.68869863013698,21.598484848484848,92.4140625,30.635616438356163,0.12469667318982389
dhaka_lcs,Dhaka,21,365,65.14236015527419,60.35673515981735,20.717741935483872,96.59022988505748,30.72876712328767,0.12203522504892368
dhaka_lcs,Dhaka,22,365,64.32417885885917,61.00376712328767,20.109375,94.80050505050507,30.745205479452054,0.12156555772994129
dhaka_lcs,Dhaka,23,365,62.77870751196322,59.026484018264846,19.061827956989244,94.48118279569891,29.61917808219178,0.15373776908023484
lucknow_lcs,Lucknow,0,365,70.1714908097797,66.61780821917809,22.04084967320261,102.34895833333333,51.18630136986302,0.27906617788925336
lucknow_lcs,Lucknow,1,365,67.68455490658222,64.58025114155251,21.805,99.00387596899226,51.26027397260274,0.2780243102450318
lucknow_lcs,Lucknow,2,365,65.98693849287133,63.21506849315068,21.861111111111114,97.0295138888889,51.364383561643834,0.2765579780050164
lucknow_lcs,Lucknow,3,365,64.9052403557192,62.352739726027394,21.036858974358974,95.40306122448979,51.30684931506849,0.27736831950607754
lucknow_lcs,Lucknow,4,365,64.72769842333653,62.26986301369863,21.4811320754717,97.015,51.295890410958904,0.27752267026818445
lucknow_lcs,Lucknow,5,365,66.06037033030421,63.58721461187214,22.352201257861637,98.20192307692308,51.04383561643836,0.2810727377966429
lucknow_lcs,Lucknow,6,365,70.95594865489471,68.00308219178082,24.86882716049383,103.4079861111111,50.863013698630134,0.2836195253714065
lucknow_lcs,Lucknow,7,365,76.52704994489208,72.7035388127854,25.887820512820515,112.84591194968554,50.608219178082194,0.28720818059039166
lucknow_lcs,Lucknow,8,365,73.80266330938913,70.20662100456622,24.105392156862745,112.75555555555556,50.66301369863014,0.2864364267798572
lucknow_lcs,Lucknow,9,365,66.34774195663297,63.340525114155255,23.18201754385965,100.84883720930233,51.29041095890411,0.2775998456492379
lucknow_lcs,Lucknow,10,365,58.19794051641744,55.653652968036525,20.563888888888886,84.27256944444446,50.893150684931506,0.2831950607756126
lucknow_lcs,Lucknow,11,365,50.94001922494172,48.90696347031964,19.221698113207548,68.86627906976744,50.56986301369863,0.28774840825776576
lucknow_lcs,Lucknow,12,365,45.075291170757055,43.35057077625571,16.65625,57.45265151515151,50.35890410958904,0.29071966042832337
lucknow_lcs,Lucknow,13,365,40.982648875210856,39.23470319634703,15.481132075471699,52.583333333333336,50.62739726027397,0.28693806675670464
lucknow_lcs,Lucknow,14,365,38.01581825392788,36.53584474885845,15.009057971014494,46.85534591194968,50.72054794520548,0.28562608527879607
lucknow_lcs,Lucknow,15,365,36.94757457182257,35.262214611872146,14.45440251572327,46.793560606060616,50.29041095890411,0.2916843526914914
lucknow_lcs,Lucknow,16,365,37.941959429702806,36.10719178082192,14.309782608695652,48.79687499999999,50.33972602739726,0.29098977426201045
lucknow_lcs,Lucknow,17,365,45.9604898752483,42.272716894977165,15.276143790849671,64.61851851851853,50.010958904109586,0.29562029712521704
lucknow_lcs,Lucknow,18,365,60.12662821347845,54.091894977168955,19.504504504504503,82.35714285714286,50.43835616438356,0.28960061740304843
lucknow_lcs,Lucknow,19,365,71.1994079593587,65.25810502283105,23.42559523809524,93.80288461538461,51.054794520547944,0.280918387034536
lucknow_lcs,Lucknow,20,365,76.1431514767428,70.84086757990868,24.463450292397663,107.91477272727273,51.37808219178082,0.2763650395523828
lucknow_lcs,Lucknow,21,365,77.6744899712614,72.68356164383562,25.158653846153847,109.86734693877551,51.38356164383562,0.27628786417132933
lucknow_lcs,Lucknow,22,365,76.37688198344685,71.91666666666666,24.15224358974359,108.48837209302326,51.087671232876716,0.2804553347482153
lucknow_lcs,Lucknow,23,365,73.49107053528435,69.4236301369863,22.904255319148938,107.42073170731707,51.03013698630137,0.2812656762492765
chicago_lcs_corrected_no_collocation,Chicago,0,273,10.158132480995459,9.964531468531469,5.764074074074074,13.065202205882354,270.26739926739924,0.02430541780722286
chicago_lcs_corrected_no_collocation,Chicago,1,274,10.095695446983541,9.919946748506968,5.884093117418162,12.55096887474451,270.2700729927007,0.024295765369311443
chicago_lcs_corrected_no_collocation,Chicago,2,272,10.175204765941759,9.983749498663101,5.873500210277839,12.69390591777665,270.43382352941177,0.023704608197069443
chicago_lcs_corrected_no_collocation,Chicago,3,273,10.310896575650759,10.155289377289378,5.683481481481481,13.030786516853933,270.2564102564103,0.024345089327038785
chicago_lcs_corrected_no_collocation,Chicago,4,273,10.579254214924577,10.429949883449883,5.813427287581699,14.022619047619049,270.23809523809524,0.024411208526731995
chicago_lcs_corrected_no_collocation,Chicago,5,273,10.866844435262278,10.70025997811712,5.932648148148148,14.209981273408241,270.27106227106225,0.02429219396728422
chicago_lcs_corrected_no_collocation,Chicago,6,273,11.204230648348416,11.036714951714952,6.257769607843137,14.592771535580523,270.3956043956044,0.023842583409370413
chicago_lcs_corrected_no_collocation,Chicago,7,273,11.422013543733957,11.229333999334,6.275057471264368,14.969963235294117,270.2637362637363,0.024318641647161503
chicago_lcs_corrected_no_collocation,Chicago,8,273,11.274596075483236,11.063881257631257,6.4464468864468865,14.412259259259258,270.2637362637363,0.024318641647161503
chicago_lcs_corrected_no_collocation,Chicago,9,273,10.806555971536891,10.615219280719282,6.290590405904059,13.688624535315984,270.2857142857143,0.024239298607529654
chicago_lcs_corrected_no_collocation,Chicago,10,273,10.30371244445612,10.115427572427572,6.005687732342008,13.08764705882353,270.46153846153845,0.02360455429047487
chicago_lcs_corrected_no_collocation,Chicago,11,273,10.062996206233535,9.873594738594738,5.943579335793357,12.729779411764707,270.2930402930403,0.024212850927652373
chicago_lcs_corrected_no_collocation,Chicago,12,273,9.972824932610619,9.749818348318348,5.941721611721612,12.412808988764047,270.27838827838826,0.02426574628740694
chicago_lcs_corrected_no_collocation,Chicago,13,273,9.895870764879898,9.590786047286048,5.950147601476015,12.378970588235294,270.3076923076923,0.024159955567897805
chicago_lcs_corrected_no_collocation,Chicago,14,273,9.577413618676752,9.326423076923076,5.879893790849673,11.896074074074075,270.45421245421244,0.02363100197035215
chicago_lcs_corrected_no_collocation,Chicago,15,273,9.434124855924072,9.204284881784881,5.774406512605043,11.604744525547444,270.2600732600733,0.024331865487100146
chicago_lcs_corrected_no_collocation,Chicago,16,273,9.512243579469525,9.268121711621712,5.710073529411765,11.69846153846154,270.3113553113553,0.024146731727959166
chicago_lcs_corrected_no_collocation,Chicago,17,273,9.612001789898063,9.366418248418249,5.6448888888888895,11.601868131868132,270.28205128205127,0.024252522447468297
chicago_lcs_corrected_no_collocation,Chicago,18,273,9.827218825303508,9.598502608502608,5.876804511278196,11.845182481751825,270.4798534798535,0.023538435090781663
chicago_lcs_corrected_no_collocation,Chicago,19,274,10.059049723872134,9.845759455872594,6.086479369396457,12.296256944444444,269.6824817518248,0.026417033386914014
chicago_lcs_corrected_no_collocation,Chicago,20,274,10.23230460391341,10.034281551781552,5.975756457564577,12.488438661710038,269.3065693430657,0.027774117895069696
chicago_lcs_corrected_no_collocation,Chicago,21,274,10.324076135219418,10.144074259074259,6.151139705882353,12.873825338253381,269.2846715328467,0.0278531713615642
chicago_lcs_corrected_no_collocation,Chicago,22,274,10.227386591718183,10.033684648684648,5.822988929889299,13.550641975308643,269.47080291970804,0.027181216896360907
chicago_lcs_corrected_no_collocation,Chicago,23,274,10.160233412297517,9.97689194139194,5.871015037593985,13.031691176470588,269.2883211678832,0.02783999578381512
