target_N_star,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_absolute_error_median_ugm3
40,2025-10-25,20,0.20669230769230573,0.14222499999999877,0.17637499999999973,0.2440192307692315,0.36592596153846196,0.23006118904329434,0.076922069362733,50,0.2802500000000005
40,2025-10-26,5,0.3169999999999997,0.25511057692307704,0.27957565789473593,0.3525144230769215,0.4075749999999992,0.32128261808367037,0.053762288252598225,50,0.3312592592592587
40,2025-10-26,10,0.20791666666666586,0.16776057692307572,0.18381376518218717,0.2453493589743594,0.29203557692307724,0.2170703733693204,0.043829418377981544,50,0.2397407407407401
40,2025-10-26,20,0.11940131578947488,0.09644262820512921,0.10323684210526407,0.14293218623481785,0.1700740384615371,0.1252323256860102,0.026628484087895428,50,0.166759259259261
40,2025-10-27,5,0.2941602564102568,0.23842243589743614,0.2669262820512819,0.32805128205128264,0.38113942307692367,0.3030332113287378,0.054375410321106876,50,0.3119702602230489
40,2025-10-27,10,0.19200000000000017,0.1552099358974353,0.1730544871794868,0.21376715176715222,0.31627894736842127,0.209554971003392,0.055774228056001574,50,0.2290297397769509
40,2025-10-27,20,0.10878525641025671,0.08819006410256428,0.0982827169274536,0.12287660256410304,0.20060000000000014,0.1237013055768319,0.03923864591314028,50,0.1599702602230497
40,2025-10-28,5,0.21976013513513504,0.163405448717949,0.19840224358974423,0.2597115384615385,0.30831315789473546,0.23211085913849075,0.048479618000837325,50,0.2359851301115254
40,2025-10-28,10,0.14698986486486443,0.10550544871794851,0.13193429487179387,0.18443780318780278,0.25164473684210464,0.16395482912061865,0.0488306217999235,50,0.1710148698884745
40,2025-10-28,20,0.0846469161469161,0.06074455128205183,0.07687837381916318,0.10423847886347937,0.1644171052631567,0.09797398220082418,0.0347463993320727,50,0.1239851301115253
40,2025-10-29,5,0.14106756756756678,0.10420769230769222,0.12342467948717961,0.16253698435277442,0.39083279352226585,0.1840804809667967,0.10236850947975333,50,0.1590597014925379
40,2025-10-29,10,0.09269838056680157,0.06898805668016164,0.08087499999999959,0.1070690789473685,0.4043404858299588,0.15036496419496415,0.125878849991155,50,0.1159402985074624
40,2025-10-29,20,0.05256578947368462,0.040133653846154284,0.04631907894736953,0.06069407894736889,0.32632500000000025,0.10535819528030065,0.11101329843619868,50,0.0879402985074624
40,2025-10-30,5,0.2237179487179497,0.18421184210526304,0.20205592105263115,0.2568704453441293,0.3123289473684202,0.23595930900536166,0.04649401023087189,50,0.2350000000000012
40,2025-10-30,10,0.14774999999999938,0.11992469635627442,0.1318980263157894,0.19918750000000118,0.22267793522267199,0.1641274388153336,0.039516983182880376,50,0.1689999999999987
40,2025-10-30,20,0.0847500000000001,0.06898684210526293,0.07644407894736971,0.12068749999999961,0.13398815789473625,0.09637782434256127,0.025239201562167406,50,0.1227499999999999
40,2025-10-31,5,0.322958333333335,0.2303374999999991,0.2661052631578946,0.3875769230769237,0.43960673076923124,0.32607917004048603,0.070128767246869,50,0.3304354243542438
40,2025-10-31,10,0.2375929487179489,0.14919134615384516,0.17572435897435823,0.2783749999999994,0.32707179487179394,0.23488622132253714,0.06407227248157181,50,0.2444354243542434
40,2025-10-31,20,0.14153205128205126,0.08562960526315963,0.09990856950067406,0.17542788461538672,0.2101243589743594,0.14071419703103932,0.043340477606231796,50,0.1824354243542441
40,2025-11-01,5,0.2897948717948706,0.20106257796257734,0.24038461538461542,0.3678509615384631,0.46325865384615594,0.3084582374074478,0.08215399418102631,50,0.303080882352944
40,2025-11-01,10,0.24437500000000023,0.13352027027027047,0.16577884615384653,0.2764374999999992,0.34467307692307875,0.23001652350731303,0.07301250981572097,50,0.2399191176470569
40,2025-11-01,20,0.14462500000000134,0.07676698717948849,0.09486538461538618,0.17900000000000005,0.20507500000000103,0.13939862202283274,0.048192000789241636,50,0.1774191176470578
40,2025-11-02,5,0.24540064102563974,0.173963900134952,0.21894871794871884,0.2876009615384614,0.3437025641025652,0.2542207219973011,0.05187722102890091,50,0.2526397058823519
40,2025-11-02,10,0.1748750000000001,0.11390789473684175,0.14606249999999932,0.22062019230769236,0.26345384615384493,0.18319954116059375,0.0502087171877071,50,0.1866397058823512
40,2025-11-02,20,0.10299999999999931,0.06409531039136436,0.08506250000000026,0.13007211538461627,0.1701375000000001,0.11009084345479105,0.034417505743340925,50,0.1381397058823523
40,2025-11-03,5,0.17550000000000043,0.12614257759784123,0.15597916666666634,0.2243749133749131,0.33302692307692366,0.2061439765473975,0.07218821383030057,50,0.1906838235294135
