phase,phase_name,dataset_key,target_N_star,outer_seed_index,outer_seed_value,inner_seed_value,selected_sensor_set_hash,selected_sensor_order,sensor_id,station_name,latitude,longitude
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,27,81432147049,Bijnor,26.73427,80.89255
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,28,81432147053,Ambalika,26.64055,80.9382
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,29,81432147061,Para,26.81434,80.86674
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,30,81432147072,Haroiya,26.65826,81.15739
3,phase3_lucknow_downsampling,lucknow_lcs,31,1,302715086,2652934087,2dc373945610f7f2,31,81432147076,Jopling,26.85892,80.96262
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,1,81432130003,Aliganj,26.90173,80.95188
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,2,81432130008,Lucknow Cantonment,26.8209,80.94863
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,3,81432131004,Mahanagar,26.88219,80.95055
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,4,81432131006,Nishat Ganj,26.86539,80.9547
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,5,81432131007,Charbagh,26.83767,80.9345
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,6,81432131013,Kakori,26.9043353,80.7653765
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,7,81432131014,"Gomti Nagar, Lucknow - UPPCB",26.86469,81.00491
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,8,81432144017,Aziz Nagar,26.92933,80.92733
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,9,81432144019,Mubarakpur,26.93487,80.89838
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,10,81432144023,Mohammadpur,27.02779,80.93745
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,11,81432144027,CIMAP,26.89483,80.98249
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,12,81432144030,Gomti Nagar Ex,26.84041,81.00944
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,13,81432147004,Anand Nagar,26.82169,80.92019
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,14,81432147008,CMS_Kanpur Road,26.78976,80.8943
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,15,81432147023,Piparsand,26.74666,80.81857
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,16,81432147033,Kukrail_LCS_uppcb,26.90727,80.9852
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,17,81432147036,Telibagh,26.79017,80.95862
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,18,81432147037,HariKansh_garhi,26.72429,80.97102
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,19,81432147038,Mall,27.01277,80.73623
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,20,81432147039,Nagram,26.61845,81.14324
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,21,81432147040,"Amethi, jagdishpur",26.75155,81.15767
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,22,81432147044,Rahta,27.03761,80.65654
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,23,81432147046,CMS_IndNgr,26.87444,80.97576
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,24,81432147047,Aliganj -II,26.88364,80.93675
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,25,81432147050,RDSO,26.81192,80.88597
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,26,81432147051,Prabandh Nagar,26.91017,80.90802
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,27,81432147055,Daliganj,26.86998,80.92704
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,28,81432147060,Shanti Nagar,26.75587,80.87343
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,29,81432147061,Para,26.81434,80.86674
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,30,81432147064,Rajajipuram-I,26.84618,80.87375
3,phase3_lucknow_downsampling,lucknow_lcs,31,2,4171580741,755554517,c9bac25b5ea64cf4,31,81432147065,Balaganj,26.87166,80.88209
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,1,81432130003,Aliganj,26.90173,80.95188
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,2,81432130004,"B R Ambedkar University, Lucknow - UPPCB",26.76643,80.9273
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,3,81432130005,Rajendra Nagar-II,26.90434,80.76538
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,4,81432130008,Lucknow Cantonment,26.8209,80.94863
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,5,81432131005,Husainabad,26.8702,80.90413
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,6,81432131012,Vrindavan Yojana,26.78063,80.95589
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,7,81432131013,Kakori,26.9043353,80.7653765
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,8,81432144007,Dashauli,26.95845,80.99923
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,9,81432144008,Chak Ganjaria,26.79835,81.02416
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,10,81432144015,Mohanlalganj,26.65071,80.99416
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,11,81432144019,Mubarakpur,26.93487,80.89838
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,12,81432144021,LPS Jankipuram,26.92222,80.95233
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,13,81432144022,Virat Khand,26.85672,81.01856
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,14,81432144024,Umarbhari,26.95505,80.90484
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,15,81432147004,Anand Nagar,26.82169,80.92019
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,16,81432147008,CMS_Kanpur Road,26.78976,80.8943
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,17,81432147036,Telibagh,26.79017,80.95862
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,18,81432147038,Mall,27.01277,80.73623
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,19,81432147040,"Amethi, jagdishpur",26.75155,81.15767
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,20,81432147041,UniWrld IndNagar,26.88362,80.9927
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,21,81432147043,Amrapali Yojna,26.88655,80.86085
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,22,81432147046,CMS_IndNgr,26.87444,80.97576
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,23,81432147047,Aliganj -II,26.88364,80.93675
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,24,81432147049,Bijnor,26.73427,80.89255
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,25,81432147053,Ambalika,26.64055,80.9382
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,26,81432147055,Daliganj,26.86998,80.92704
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,27,81432147057,Fazullaganj,26.89364,80.92507
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,28,81432147060,Shanti Nagar,26.75587,80.87343
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,29,81432147061,Para,26.81434,80.86674
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,30,81432147062,Tiwariganj,26.89134,81.07359
3,phase3_lucknow_downsampling,lucknow_lcs,31,3,915272074,570900229,f853319bb194748c,31,81432147070,Asharfabad,26.85687,80.89933
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,1,81432130005,Rajendra Nagar-II,26.90434,80.76538
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,2,81432130008,Lucknow Cantonment,26.8209,80.94863
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,3,81432131001,Transport Nagar,26.77917,80.88506
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,4,81432131004,Mahanagar,26.88219,80.95055
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,5,81432131009,Vipul Khand,26.84636,80.98246
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,6,81432131012,Vrindavan Yojana,26.78063,80.95589
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,7,81432131014,"Gomti Nagar, Lucknow - UPPCB",26.86469,81.00491
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,8,81432131015,IITR-Hazratganj,26.8594,80.93071
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,9,81432144006,Jankipuram Vistar,26.94334,80.94009
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,10,81432144008,Chak Ganjaria,26.79835,81.02416
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,11,81432144015,Mohanlalganj,26.65071,80.99416
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,12,81432144017,Aziz Nagar,26.92933,80.92733
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,13,81432144019,Mubarakpur,26.93487,80.89838
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,14,81432144020,HariharNagar,26.88341,81.01356
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,15,81432144021,LPS Jankipuram,26.92222,80.95233
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,16,81432144024,Umarbhari,26.95505,80.90484
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,17,81432144027,CIMAP,26.89483,80.98249
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,18,81432144031,Kalyanpur,26.9066,80.96939
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,19,81432147008,CMS_Kanpur Road,26.78976,80.8943
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,20,81432147023,Piparsand,26.74666,80.81857
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,21,81432147037,HariKansh_garhi,26.72429,80.97102
