model_name,target,features,n_rows,n_features,full_r2,full_adjusted_r2,full_rmse,full_mae,cv_r2,cv_adjusted_r2,cv_rmse,cv_mae,sample_size,time_scale
daily_error_environment_support_n10,ape_median_pct,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction, log_sensor_density, log_median_nearest_neighbor_km, log_retained_sensor_count",1002,8,0.9550061352060857,0.9546436468693774,0.4545815307259179,0.2741750414661498,0.9504636090240477,0.9500645243031941,0.47697686904014536,0.2792784097517959,10,daily
daily_error_environment_city_n10,ape_median_pct,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction, city_Dhaka, city_Lucknow",1002,7,0.9550061352060857,0.9546892770033116,0.4545815307259179,0.2741750414661492,0.9504636090240477,0.9501147612002734,0.47697686904014547,0.2792784097517961,10,daily
daily_error_city_only_n10,absolute_error_median_ugm3,"city_Dhaka, city_Lucknow",2167,2,0.24527716558851032,0.24457963986354592,2.1266840699386838,1.0637656460046676,0.24258013345698115,0.24188011509603569,2.1304805763677326,1.066715605890448,10,daily
daily_error_environment_n10,absolute_error_median_ugm3,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction",1002,5,0.7611140749824677,0.7599148484512552,1.592876706259696,1.0287887623742495,0.7112037840884442,0.709754003888085,1.7513890472871372,1.053535114705656,10,daily
daily_error_environment_support_n10,absolute_error_median_ugm3,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction, log_sensor_density, log_median_nearest_neighbor_km, log_retained_sensor_count",1002,8,0.8457034667348278,0.8444603929522282,1.2801620969289105,0.8658735011276452,0.8141458298088076,0.8126485152453338,1.4049893600157102,0.8881397929308518,10,daily
daily_error_environment_city_n10,absolute_error_median_ugm3,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction, city_Dhaka, city_Lucknow",1002,7,0.8457034667348277,0.8446168714301433,1.2801620969289105,0.8658735011276434,0.8141458298088073,0.8128369976243623,1.4049893600157106,0.8881397929308522,10,daily
daily_error_city_only_n20,ape_median_pct,"city_Dhaka, city_Lucknow",2095,2,0.02783283254396962,0.026903418425942793,1.5969676491773872,1.0032905657715048,0.024275758551957294,0.023342943789578685,1.5998865635492205,1.0054196400541568,20,daily
daily_error_environment_n20,ape_median_pct,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction",982,5,0.8826856489625768,0.8820846533117703,0.5258532134715602,0.3749441697174443,0.8795662494835642,0.8789492733026398,0.5327985896899045,0.3774936364306086,20,daily
daily_error_environment_support_n20,ape_median_pct,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction, log_sensor_density, log_median_nearest_neighbor_km, log_retained_sensor_count",982,8,0.9523407862618588,0.9519489325003941,0.33516788401534636,0.2146435103821978,0.9504538738254152,0.9500465058815337,0.3417384246748759,0.21672321033524747,20,daily
daily_error_environment_city_n20,ape_median_pct,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction, city_Dhaka, city_Lucknow",982,7,0.9523407862618588,0.9519982662452603,0.3351678840153465,0.21464351038219787,0.9504538738254152,0.9500977928364809,0.3417384246748757,0.2167232103352475,20,daily
daily_error_city_only_n20,absolute_error_median_ugm3,"city_Dhaka, city_Lucknow",2095,2,0.16114862505775696,0.1603466638962443,1.7060749957758534,0.6962845875937309,0.15698702457342062,0.15618108482635895,1.710301738804375,0.698961728179735,20,daily
daily_error_environment_n20,absolute_error_median_ugm3,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction",982,5,0.6380007086409266,0.6361462040745379,1.5283295123510876,0.9193720083326627,0.6080366986541876,0.6060286899382767,1.5903248412047815,0.9347241857558056,20,daily
daily_error_environment_support_n20,absolute_error_median_ugm3,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction, log_sensor_density, log_median_nearest_neighbor_km, log_retained_sensor_count",982,8,0.7688963695544571,0.7669962369300333,1.2211429972048433,0.7368456910286908,0.7404525244057176,0.7383185266618797,1.2941110452397315,0.7495155476906531,20,daily
daily_error_environment_city_n20,absolute_error_median_ugm3,"log_pm25, log_spatial_sd, daily_spatial_cv, missing_pct, valid_sensor_fraction, city_Dhaka, city_Lucknow",982,7,0.7688963695544571,0.7672354605060805,1.2211429972048433,0.7368456910286911,0.7404525244057175,0.7385871934722884,1.2941110452397317,0.7495155476906535,20,daily
