cluster,n_rows,city_mode,season_mode,daily_reference_mean_ugm3_mean,daily_reference_mean_ugm3_median,daily_spatial_sd_ugm3_mean,daily_spatial_sd_ugm3_median,daily_spatial_cv_mean,daily_spatial_cv_median,missing_pct_mean,missing_pct_median,valid_sensor_fraction_mean,valid_sensor_fraction_median,ape_median_pct_mean,ape_median_pct_median,absolute_error_median_ugm3_mean,absolute_error_median_ugm3_median,scope,feature_set,k,selection
0,246,Chicago,SON,10.76631581216868,9.5107249070632,1.543764581639183,1.3566140548288743,0.15431956159030089,0.13904483567792394,2.5456399870857878,2.52707581227437,0.9753275722545774,0.9747292418772563,2.796876316977886,2.6559039692631004,0.28976322777625374,0.24303228782287875,global_daily,environment_plus_error_n10,3,k_equals_city_count
1,363,Lucknow,MAM,55.349575308245406,37.415064064221035,12.700344896883362,8.306913988033383,0.24076562475835098,0.2256573065448228,30.091254598296846,27.758215962441312,0.7595246409586999,0.7887323943661971,4.602717715456016,4.363916016992015,2.451379018528576,1.6057649620390642,global_daily,environment_plus_error_n10,3,k_equals_city_count
2,362,Dhaka,DJF,61.56196148957946,39.9922357387249,22.16983867855447,13.13620427381523,0.35213593869789317,0.3255465249045457,12.598625824931167,11.30952380952381,0.9243594161655013,0.9428571428571428,6.5118666024312155,5.959788913246702,4.0556208934769105,2.44368155429442,global_daily,environment_plus_error_n10,3,k_equals_city_count
0,197,Lucknow,JJA,28.403187682124795,26.05738011363256,6.109342076165893,5.698696185597029,0.2303882390950384,0.2153377746362908,25.437404460604572,26.29107981220657,0.8200308449682867,0.8169014084507042,4.503972144198523,4.232200989789362,1.1965747873378876,1.0948965500978325,global_daily,environment_plus_error_n10,7,best_silhouette
1,15,Lucknow,DJF,159.68660444135352,160.97375529268135,112.26773774838013,95.09482835277151,0.7392276729689659,0.7647778139314454,27.020456069751837,26.76056338028167,0.7904761904761907,0.7887323943661971,13.021806666674486,13.521551557551424,19.703284721289226,18.84052762010428,global_daily,environment_plus_error_n10,7,best_silhouette
2,152,Dhaka,DJF,96.2765076558801,86.1972138555071,29.988241708597492,28.524214535708754,0.3204566063887746,0.30598282128315857,10.986842105263152,9.285714285714274,0.9321428571428573,0.9428571428571428,5.931137702443624,5.527916945444201,5.542078689158461,5.324890439699583,global_daily,environment_plus_error_n10,7,best_silhouette
3,196,Dhaka,JJA,21.513743050598315,19.683967236150263,7.100012282696653,6.417258442212561,0.3454165563042395,0.3374365167968312,12.325505100891943,12.55952380952381,0.9325494186662744,0.9428571428571428,6.407319595259081,6.209297275261951,1.3157410351528918,1.188679537196959,global_daily,environment_plus_error_n10,7,best_silhouette
4,239,Chicago,SON,10.611621225494485,9.336804511278196,1.4826490102099752,1.3359801813642511,0.1503443304078342,0.1378113152763593,2.40472486141111,2.52707581227437,0.9759527513858888,0.9747292418772563,2.749114753641056,2.63850170795869,0.2800525065803451,0.2403703703703685,global_daily,environment_plus_error_n10,7,best_silhouette
5,53,Lucknow,MAM,35.065413926978856,31.129267310789047,10.292742293875879,8.668574695195037,0.2927179344319211,0.2876268965276513,49.072042316793855,45.83333333333332,0.5447325462207205,0.5774647887323944,5.080934491138247,5.370578651769837,1.8218657666960885,1.517836425852721,global_daily,environment_plus_error_n10,7,best_silhouette
6,119,Lucknow,DJF,115.88021288471727,110.5112153354592,27.54817503300224,24.518929621883732,0.2395079903511496,0.2250227633891774,28.84229748237323,29.46009389671361,0.7585208731379879,0.7605633802816901,4.620240981237117,4.4162766206506685,5.329579486747249,4.845436507936483,global_daily,environment_plus_error_n10,7,best_silhouette
