dataset_key,city,sensor_id,station_name,latitude,longitude,record_uptime_pct,daily_availability_pct,longest_missing_gap_days,period_mean_pm25_ugm3,period_median_daily_pm25_ugm3,period_sd_daily_pm25_ugm3,nearest_neighbor_km,city_key,log_longest_missing_gap_days,log_nearest_neighbor_km
chicago_lcs_corrected_no_collocation,Chicago,DAREG6245,Lake View 5,41.93525075,-87.6725314,99.58677685950413,99.58677685950413,1,10.34427385892116,8.84,5.399154215370724,1.472147095358334,chicago,0.6931471805599453,0.9050870424199114
chicago_lcs_corrected_no_collocation,Chicago,DARLP7776,Armour Square 2,41.840014499999995,-87.63555596912866,99.58677685950413,99.58677685950413,1,10.83427385892116,9.54,5.7472080533092,1.3037911197027972,chicago,0.6931471805599453,0.8345560788725755
chicago_lcs_corrected_no_collocation,Chicago,DATLR2184,Brighton Park 1,41.82784155,-87.70286514736534,99.58677685950413,99.58677685950413,1,11.652904564315357,10.38,5.815106679590732,1.3809888441155325,chicago,0.6931471805599453,0.8675158821159805
chicago_lcs_corrected_no_collocation,Chicago,DAUPG9028,Portage Park 2,41.9627009,-87.76268011146504,99.58677685950413,99.58677685950413,1,10.909751037344398,9.58,5.560389968736546,1.4713112353684648,chicago,0.6931471805599453,0.9047488743028104
chicago_lcs_corrected_no_collocation,Chicago,DAWAP1896,Greater Grand Crossing 5,41.7516673,-87.61940269812234,99.58677685950413,99.58677685950413,1,10.098921161825729,8.96,5.019554727721571,1.358168996354098,chicago,0.6931471805599453,0.8578854689084179
chicago_lcs_corrected_no_collocation,Chicago,DAWUS6556,Ashburn 5,41.73545185,-87.68498598766976,99.58677685950413,99.58677685950413,1,10.147593360995849,8.85,4.917174580043137,0.9051412138914378,chicago,0.6931471805599453,0.6445561338583193
chicago_lcs_corrected_no_collocation,Chicago,DAYYE9472,Hyde Park 3,41.7847049,-87.58248692116234,99.58677685950413,99.58677685950413,1,10.343609958506224,8.99,5.289476328576117,0.9239827740233284,chicago,0.6931471805599453,0.6543973989931062
chicago_lcs_corrected_no_collocation,Chicago,DBCBA3610,Austin 5,41.8669061,-87.753564390105,99.58677685950413,99.58677685950413,1,10.743278008298756,9.07,5.508980664323424,1.3120780712407443,chicago,0.6931471805599453,0.8381467180777026
chicago_lcs_corrected_no_collocation,Chicago,DBDBP2246,Greater Grand Crossing 4,41.751726399999995,-87.60303067276175,99.58677685950413,99.58677685950413,1,9.837302904564314,8.71,4.66914202811393,1.358168996354098,chicago,0.6931471805599453,0.8578854689084179
chicago_lcs_corrected_no_collocation,Chicago,DBDSX9338,South Shore 2,41.76396055,-87.56920031233949,99.58677685950413,99.58677685950413,1,10.955809128630706,9.49,5.866489249407717,1.3726847852304098,chicago,0.6931471805599453,0.8640221347620787
chicago_lcs_corrected_no_collocation,Chicago,DBFUZ7169,South Chicago 4,41.73860965,-87.55239535029682,99.58677685950413,99.58677685950413,1,10.963443983402488,9.82,5.595536033859854,1.338583299435727,chicago,0.6931471805599453,0.8495453184327508
chicago_lcs_corrected_no_collocation,Chicago,DBIRF2035,Gage Park 4,41.79007765,-87.70310395085426,99.58677685950413,99.58677685950413,1,12.534107883817429,11.58,5.738794165296916,1.3664010591048699,chicago,0.6931471805599453,0.8613702605338274
chicago_lcs_corrected_no_collocation,Chicago,DBIZF0451,West Pullman 2,41.6758357,-87.63729348709609,97.93388429752066,97.93388429752066,2,11.17940928270042,10.35,5.53755870661752,1.3660808942121605,chicago,1.0986122886681098,0.8612349552558121
chicago_lcs_corrected_no_collocation,Chicago,DBJPV1452,Irving Park 2,41.94881145,-87.70812985315226,99.58677685950413,99.58677685950413,1,11.822614107883815,10.23,6.21613165250706,1.1926191629401561,chicago,0.6931471805599453,0.7850967940450472
chicago_lcs_corrected_no_collocation,Chicago,DBLXJ4454,New City 5,41.802394199999995,-87.66940364304637,99.58677685950413,99.58677685950413,1,11.08232365145228,9.71,5.607525411874054,1.3684713480922368,chicago,0.6931471805599453,0.8622447462395683
chicago_lcs_corrected_no_collocation,Chicago,DBMHJ0743,Archer Heights 4,41.802709500000006,-87.7373057324682,99.58677685950413,99.58677685950413,1,9.910290456431536,8.99,4.685529710212448,1.3562561061448652,chicago,0.6931471805599453,0.8570739636781428
chicago_lcs_corrected_no_collocation,Chicago,DBTKW5792,Austin 8,41.8912125,-87.76984190347045,99.58677685950413,99.58677685950413,1,10.484896265560163,8.98,5.4632736761055325,1.3950229116861053,chicago,0.6931471805599453,0.8733927972831349
chicago_lcs_corrected_no_collocation,Chicago,DBYCW6873,Norwood Park 4,41.97643085,-87.79850802324188,99.58677685950413,99.58677685950413,1,9.810622406639002,8.45,5.2547544371101855,1.475251910015471,chicago,0.6931471805599453,0.906342172665668
chicago_lcs_corrected_no_collocation,Chicago,DBZCJ6205,Auburn Gresham 3,41.73924395,-87.63654310138114,99.17355371900828,99.17355371900828,1,11.82375,10.39,5.350295117578869,1.3503816467530037,chicago,0.6931471805599453,0.8545777178437671
chicago_lcs_corrected_no_collocation,Chicago,DCABM0358,South Lawndale 6,41.840363100000005,-87.73770467096696,99.58677685950413,99.58677685950413,1,12.080539419087136,10.63,6.1852149079732595,1.3926027859398022,chicago,0.6931471805599453,0.8723818051524684
chicago_lcs_corrected_no_collocation,Chicago,DCAFN1583,South Lawndale 5,41.827545400000005,-87.73584967759197,99.58677685950413,99.58677685950413,1,11.621327800829874,10.44,5.632465037287454,1.2292239117382688,chicago,0.6931471805599453,0.8016535032564095
chicago_lcs_corrected_no_collocation,Chicago,DCFVE7122,New City 3,41.8017657,-87.63592810040294,99.58677685950413,99.58677685950413,1,12.364107883817429,11.26,5.645197676342189,1.3581480237562409,chicago,0.6931471805599453,0.8578765752747763
chicago_lcs_corrected_no_collocation,Chicago,DCHTB8281,Morgan Park 2,41.689594850000006,-87.65379678317397,99.58677685950413,99.58677685950413,1,10.41804979253112,9.38,4.949098311562458,1.3278656222147436,chicago,0.6931471805599453,0.8449518057868414
chicago_lcs_corrected_no_collocation,Chicago,DCIJQ7018,West Ridge 6,42.002863700000006,-87.70792946030201,99.58677685950413,99.58677685950413,1,10.391327800829876,8.96,5.591495542005338,1.452643796141766,chicago,0.6931471805599453,0.8971665432122716
