,median_res,mad,spike_rate,changepoints,peer_r,flag_low_r,flag_drift,flag_noisy
81432147043,2.125,5.125,0.03051643192488263,3,0.9319793669916311,False,True,False
81432147044,7.375,7.875,0.04405286343612335,2,0.9375924821645958,False,False,False
81432147045,19.5,14.5,0.03525076109597821,1,0.9381881860996372,False,False,False
81432147046,-1.75,3.75,0.09278711484593838,1,0.9429779916858169,False,False,True
81432147047,2.875,4.125,0.05400026535756933,1,0.963087981259283,False,False,True
81432147049,-4.625,5.375,0.01897590361445783,2,0.9590552136766429,False,False,False
81432147050,0.75,2.75,0.047972190034762455,1,0.9571628954283102,False,False,False
81432147051,3.75,3.75,0.05233960443801254,2,0.9395710501349422,False,False,True
81432147053,-3.0,5.0,0.04633887513264945,1,0.9451079689907071,False,False,False
81432147054,0.875,2.375,0.06786786786786787,1,0.9681381968382686,False,False,True
81432147055,4.5,7.25,0.034928598996526436,1,0.7840736937403463,False,False,False
81432147056,0.875,2.75,0.017676767676767676,0,0.9011404433297251,False,False,False
81432147057,0.75,3.0,0.07922556123054994,1,0.8960067654383002,False,False,True
81432147060,-2.25,2.25,0.023542116630669546,0,0.9291371890133427,False,False,False
81432147061,-4.25,4.25,0.03367633302151544,3,0.9599421331022789,False,True,False
81432147062,5.5,5.5,0.035009182736455466,2,0.9674149778911452,False,False,False
81432147064,-1.75,3.25,0.05079131394920869,1,0.9659410389375133,False,False,True
81432147065,23.25,17.625,0.017364203027604632,1,0.9126903892517173,False,False,False
81432147068,1.0,3.666666666666668,0.04226514776291894,2,0.9505068771423187,False,False,False
81432147069,-2.0,2.0,0.10367207514944492,1,0.96438878869838,False,False,True
81432147070,1.75,5.5,0.07671749724886025,2,0.9495246813535002,False,False,True
81432147072,-4.875,5.375,0.04700706263748987,2,0.9068008667784131,False,False,False
81432147076,0.0,2.25,0.0947467166979362,1,0.96264236144351,False,False,True
