dataset_key,city,time_aggregation,time_index,sample_size,n_sensors_available,estimator,estimator_label,draws,seed_used,reference_mean_ugm3,estimator_mean_ugm3,estimator_median_ugm3,bias_ugm3,relative_bias_pct,median_absolute_error_ugm3,p75_absolute_error_ugm3,p95_absolute_error_ugm3,median_ape_pct,p75_ape_pct,p95_ape_pct
dhaka_lcs,Dhaka,period,study_period,15,35,lognormal_mean,Lognormal mean,10000,3691424705,55.14721850399361,55.2790538123224,55.29761446039845,0.13183530832879597,0.2390606668933789,1.5293672413282202,2.6057820717655726,4.404608663899462,2.7732445675704707,4.725137808313703,7.987000583865335
dhaka_lcs,Dhaka,period,study_period,15,35,robust_lognormal_median_mad,Robust lognormal,10000,3691424705,55.14721850399361,55.332124776315524,54.99359764278376,0.1849062723219177,0.33529573628183496,1.5886842732425919,2.7515496808680524,4.431038291616204,2.8808058073274245,4.9894623074576145,8.034926170021288
dhaka_lcs,Dhaka,period,study_period,20,35,arithmetic_mean,Arithmetic mean,10000,2177648824,55.14721850399361,55.092021816287385,55.089374600331944,-0.055196687706221326,-0.10008970389363181,1.1825165164958982,1.9991967423772437,3.2922971171401234,2.1442904077025453,3.6251995959369507,5.970014819336182
dhaka_lcs,Dhaka,period,study_period,20,35,robust_arithmetic_median,Robust median,10000,2177648824,55.14721850399361,54.50807754706624,54.3784576678964,-0.6391409569273634,-1.1589722460455165,1.2523159645438469,2.060664855432762,3.76747160394104,2.2708597070098064,3.736661451535465,6.831662060468581
dhaka_lcs,Dhaka,period,study_period,20,35,lognormal_mean,Lognormal mean,10000,2177648824,55.14721850399361,55.239678543691014,55.24536786404565,0.09246003969740713,0.16766038651742957,1.1597484262723405,1.9732257759227902,3.284587528440334,2.1030043903091045,3.578105713128387,5.95603480564024
dhaka_lcs,Dhaka,period,study_period,20,35,robust_lognormal_median_mad,Robust lognormal,10000,2177648824,55.14721850399361,55.20876260481679,55.09584837791748,0.06154410082318407,0.11159964635156933,1.1831169070312626,1.9959441851368371,3.312850498021099,2.145379112720952,3.6193016425521014,6.007284842083544
lucknow_lcs,Lucknow,period,study_period,5,71,arithmetic_mean,Arithmetic mean,10000,1095996705,61.802242631595966,61.80844075206134,61.40622851045191,0.0061981204653704935,0.010028957205190071,5.041287541081267,8.393201475568176,14.378741044796776,8.15712719541984,13.580739335949616,23.265726990699434
lucknow_lcs,Lucknow,period,study_period,5,71,robust_arithmetic_median,Robust median,10000,1095996705,61.802242631595966,60.65282759458132,59.48726664508471,-1.1494150370146485,-1.8598273914853345,3.238838029950635,9.148993798783522,16.690500207353544,5.240648060714228,14.803659882248613,27.00630186973287
lucknow_lcs,Lucknow,period,study_period,5,71,lognormal_mean,Lognormal mean,10000,1095996705,61.802242631595966,62.358698279813005,61.87483509169434,0.5564556482170389,0.9003809967448573,5.025077092513854,8.414494488174356,14.60312558699788,8.130897647951723,13.615192798638837,23.628795598967685
lucknow_lcs,Lucknow,period,study_period,5,71,robust_lognormal_median_mad,Robust lognormal,10000,1095996705,61.802242631595966,62.716198246773,62.432433123672446,0.9139556151770307,1.4788389162916513,4.6221152262449365,9.017796346628408,17.45664372862136,7.478879453934107,14.591373973892207,28.24597131965042
lucknow_lcs,Lucknow,period,study_period,10,71,arithmetic_mean,Arithmetic mean,10000,3703415132,61.802242631595966,61.75925075876573,61.65514738676475,-0.04299187283023542,-0.06956361290400184,3.378738046596979,5.688987805069132,9.798757829871462,5.4670152776456415,9.205147843875615,15.855019838490318
lucknow_lcs,Lucknow,period,study_period,10,71,robust_arithmetic_median,Robust median,10000,3703415132,61.802242631595966,60.32713027236762,60.32943382466672,-1.4751123592283477,-2.386826588189547,2.890311080440547,5.3981204691935005,10.543593159274428,4.676709060008926,8.734505803246934,17.060211264702694
lucknow_lcs,Lucknow,period,study_period,10,71,lognormal_mean,Lognormal mean,10000,3703415132,61.802242631595966,62.06795642105471,61.9474644664178,0.2657137894587436,0.42994198615520673,3.380207918737973,5.681878963734643,9.814393643217434,5.46939362522399,9.193645281781121,15.880319589243989
lucknow_lcs,Lucknow,period,study_period,10,71,robust_lognormal_median_mad,Robust lognormal,10000,3703415132,61.802242631595966,62.181424601085716,62.19213086511089,0.3791819694897498,0.6135407929289214,3.213185068271855,5.6065592637304995,10.400169711120435,5.199139920254506,9.071773167118348,16.82814290917563
