city,dataset_key,resolution,weight_scheme,scheme_type,parameter,time_windows_available,time_windows_sampled,time_windows_tested,n_permutations,alpha,median_observed_morans_i,p10_observed_morans_i,p90_observed_morans_i,positive_sig_pct,negative_sig_pct,two_sided_sig_pct,median_p_positive,median_p_two_sided,median_valid_sensor_count,min_valid_sensor_count
Lucknow,lucknow_lcs,weekly,band_10km,distance_band,10,53,53,53,199,0.05,-0.022231762161072248,-0.0425824744552558,0.016569342408763357,1.8867924528301887,0.0,1.8867924528301887,0.515,0.55,60.0,44.0
Lucknow,lucknow_lcs,weekly,knn_4,k_nearest_neighbor,4,53,53,53,199,0.05,-0.026291550052634192,-0.14045658730139987,0.02232459836524894,0.0,9.433962264150944,0.0,0.525,0.63,60.0,44.0
Lucknow,lucknow_lcs,weekly,knn_5,k_nearest_neighbor,5,53,53,53,199,0.05,-0.0367642980239485,-0.15298615561042891,0.03668857530079241,0.0,11.320754716981133,7.547169811320755,0.56,0.52,60.0,44.0
Lucknow,lucknow_lcs,weekly,knn_8,k_nearest_neighbor,8,53,53,53,199,0.05,-0.00407162164698706,-0.0750592877168606,0.04013751427900416,5.660377358490567,3.7735849056603774,0.0,0.435,0.5,60.0,44.0
Lucknow,lucknow_lcs,monthly,band_2km,distance_band,2,12,12,12,199,0.05,-0.10138049598447343,-0.2194739489903989,0.0461657833677581,0.0,0.0,0.0,0.6499999999999999,0.615,65.5,51.0
Lucknow,lucknow_lcs,monthly,band_5km,distance_band,5,12,12,12,199,0.05,0.0006552049927434855,-0.0374117155831162,0.04172353411830649,0.0,0.0,0.0,0.36,0.595,65.5,51.0
Lucknow,lucknow_lcs,monthly,band_10km,distance_band,10,12,12,12,199,0.05,-0.014567623914466348,-0.037061553550197794,0.001730079003130799,0.0,0.0,0.0,0.4525,0.72,65.5,51.0
Lucknow,lucknow_lcs,monthly,knn_4,k_nearest_neighbor,4,12,12,12,199,0.05,-0.020827940637244115,-0.1121531001936079,0.007895998785422055,0.0,0.0,0.0,0.49,0.785,65.5,51.0
Lucknow,lucknow_lcs,monthly,knn_5,k_nearest_neighbor,5,12,12,12,199,0.05,-0.03135748585835121,-0.12699013144787835,0.007915264524363287,0.0,0.0,0.0,0.5825,0.78,65.5,51.0
Lucknow,lucknow_lcs,monthly,knn_8,k_nearest_neighbor,8,12,12,12,199,0.05,-0.000751977395835925,-0.0240583411452187,0.027238003292282754,0.0,0.0,0.0,0.3425,0.685,65.5,51.0
Lucknow,lucknow_lcs,total_period,band_2km,distance_band,2,1,1,1,199,0.05,-0.2381138934520675,-0.2381138934520675,-0.2381138934520675,0.0,0.0,0.0,0.875,0.26,71.0,71.0
Lucknow,lucknow_lcs,total_period,band_5km,distance_band,5,1,1,1,199,0.05,-0.049424785135870404,-0.049424785135870404,-0.049424785135870404,0.0,0.0,0.0,0.725,0.56,71.0,71.0
Lucknow,lucknow_lcs,total_period,band_10km,distance_band,10,1,1,1,199,0.05,-0.01234410918613844,-0.01234410918613844,-0.01234410918613844,0.0,0.0,0.0,0.405,0.81,71.0,71.0
Lucknow,lucknow_lcs,total_period,knn_4,k_nearest_neighbor,4,1,1,1,199,0.05,-0.04036144121837047,-0.04036144121837047,-0.04036144121837047,0.0,0.0,0.0,0.635,0.74,71.0,71.0
Lucknow,lucknow_lcs,total_period,knn_5,k_nearest_neighbor,5,1,1,1,199,0.05,-0.04043185659820573,-0.04043185659820573,-0.04043185659820573,0.0,0.0,0.0,0.6,0.81,71.0,71.0
Lucknow,lucknow_lcs,total_period,knn_8,k_nearest_neighbor,8,1,1,1,199,0.05,-0.01795003085317779,-0.01795003085317779,-0.01795003085317779,0.0,0.0,0.0,0.5,1.0,71.0,71.0
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,band_2km,distance_band,2,6557,120,120,199,0.05,0.2051770500383782,0.016941716734947123,0.5197081171729112,78.33333333333333,0.8333333333333334,75.0,0.005,0.01,271.0,102.0
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,band_5km,distance_band,5,6557,120,120,199,0.05,0.16317263633297435,0.00944614518673463,0.4253397701710948,82.5,0.0,75.83333333333333,0.005,0.01,271.0,102.0
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,band_10km,distance_band,10,6557,120,120,199,0.05,0.08151406401170416,-0.0007954914741818337,0.24040620043992014,84.16666666666667,1.6666666666666667,82.5,0.005,0.01,271.0,102.0
