city,dataset_key,resolution,distance_bin_label,distance_bin_left_km,distance_bin_right_km,pair_count,median_distance_km,median_pearson_correlation,p10_pearson_correlation,p90_pearson_correlation,median_mean_abs_difference_ugm3,p10_mean_abs_difference_ugm3,p90_mean_abs_difference_ugm3,median_semivariance_ugm3_sq,p10_semivariance_ugm3_sq,p90_semivariance_ugm3_sq
Chicago,chicago_lcs_corrected_no_collocation,monthly,5-10 km,5.0,10.0,8670,7.547156401855778,0.9304409873462144,0.6802356869473475,0.9899814896633914,1.0581485658181378,0.4914093862090015,2.2525861289921556,1.0190188562862001,0.21392161659939796,3.731291082349474
Chicago,chicago_lcs_corrected_no_collocation,monthly,10-20 km,10.0,20.0,14367,14.284922733998222,0.9086565041159596,0.6334478173845969,0.9885955481613758,1.1315729084498822,0.5364353535318404,2.331650024206586,1.192250564810062,0.24556970696717426,4.0742120059800815
Chicago,chicago_lcs_corrected_no_collocation,monthly,20-50 km,20.0,50.0,11351,26.27938572915566,0.9069813189145486,0.6335316361625731,0.985927730327607,1.1386222599265836,0.5207305457477461,2.497870337088102,1.195396147686076,0.23471329345820835,4.474789422559748
Chicago,chicago_lcs_corrected_no_collocation,total_period,0-1 km,0.0,1.0,5,0.9051412137542352,,,,1.150417284929846,0.33351253142342474,2.434943791629711,0.6617299647326792,0.07998847180775635,3.020992033699075
Chicago,chicago_lcs_corrected_no_collocation,total_period,1-2 km,1.0,2.0,705,1.4847211897994412,,,,0.6792726450809674,0.1280129511075746,1.8805559042101387,0.23070566317764696,0.008193933612902599,1.7682456534450546
Chicago,chicago_lcs_corrected_no_collocation,total_period,2-5 km,2.0,5.0,3128,3.8646395874944,,,,0.7782120759052749,0.1272421869490173,2.0474109330854002,0.3028070979334829,0.008095822201581318,2.095945764606844
Chicago,chicago_lcs_corrected_no_collocation,total_period,5-10 km,5.0,10.0,8670,7.547156401855778,,,,0.7777465462777959,0.14010160839735838,2.109849623483482,0.3024448618394432,0.00981423037697409,2.2257327413715893
Chicago,chicago_lcs_corrected_no_collocation,total_period,10-20 km,10.0,20.0,14367,14.284922733998222,,,,0.8101747907479595,0.15568252042443265,2.143407167233943,0.32819159578175,0.012118526274722085,2.297097142457782
Chicago,chicago_lcs_corrected_no_collocation,total_period,20-50 km,20.0,50.0,11351,26.27938572915566,,,,0.7946165679968491,0.1426461385020712,2.2491993169139874,0.31570774506754556,0.01017396041477604,2.529448783603174
Chicago,chicago_lcs_corrected_no_collocation,weekly,0-1 km,0.0,1.0,5,0.9051412137542352,0.9847861077913305,0.9678201169444366,0.9919344594792974,1.1108091512200893,0.4447479588661766,1.5549046115401253,0.8555361517074848,0.16236789910926508,1.7244235131450498
Chicago,chicago_lcs_corrected_no_collocation,weekly,1-2 km,1.0,2.0,705,1.4847211897994412,0.9857622630310872,0.9049913337859887,0.9950408350454844,0.818358562363142,0.37439512141067843,1.8438341375419338,0.5112367864218665,0.11949419203665118,2.511836554868886
Chicago,chicago_lcs_corrected_no_collocation,weekly,2-5 km,2.0,5.0,3128,3.8646395874944,0.9834193217886553,0.9012935814579596,0.9936736636002445,0.8691963347004474,0.39416989039997574,2.036056635669212,0.5854594304239624,0.1392255693012065,3.0323724313578895
