dataset_key,city,network,sample_size,n_sensors_available,n_draws_completed,reference_mean_ugm3,best_ape_pct,ape_median_pct,ape_p95_pct,worst_ape_pct,best_absolute_error_ugm3,absolute_error_median_ugm3,absolute_error_p95_ugm3,worst_absolute_error_ugm3
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,10,71,10000,51.46794024618637,0.0008052843277358409,2.4679590050504197,7.027613825055141,15.188612381645273,0.00041446325661098626,1.2702076660197257,3.6169680842121124,7.817265944810053
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,11,71,10000,51.46794024618637,0.0002238625268018533,2.4023938583826663,6.743240311139193,13.860065004358585,0.00011521743152798081,1.236462635510442,3.470606893993872,7.133489974525865
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,12,71,10000,51.46794024618637,3.808859997483623e-05,2.208553393980743,6.2908887421081765,12.095753310012334,1.960341787565767e-05,1.1366969411191299,3.2377908587423017,6.225435085923259
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,13,71,10000,51.46794024618637,0.00026787353749256734,2.0870507708415826,5.888392033607731,12.095412740668813,0.0001378689922120202,1.0741620436443178,3.030634093318426,6.225259801897039
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,14,71,10000,51.46794024618637,0.0009220739677714733,2.032973685373892,5.804920181149635,11.33627218470423,0.0004745724787582617,1.0463296816089276,2.987672850172908,5.834545794168619
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,15,71,10000,51.46794024618637,2.9134227157890414e-05,1.9098889647340158,5.528490121839225,10.081389589886754,1.499478662481124e-05,0.9829805111378107,2.845399992424528,5.188683570108168
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,16,71,10000,51.46794024618637,6.059969356547608e-05,1.851922067785656,5.27047560238857,10.40736488075008,3.118941407365128e-05,0.9531461432538606,2.7126052337271807,5.356456338027037
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,17,71,10000,51.46794024618637,0.0010572765640313893,1.7843854181261072,5.0815086847749855,10.44467154058098,0.0005441584702126079,0.9183864207628076,2.6153478534847605,5.3756573074166525
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,18,71,10000,51.46794024618637,0.00034928638990092093,1.7305783594462953,4.896735452895355,10.572176632489285,0.00017977051044226755,0.8906930359532517,2.520248876910004,5.441281551930864
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,19,71,10000,51.46794024618637,0.0006346018660917044,1.6473743856813599,4.758660225824285,8.823486367642518,0.00032661650924126207,0.8478696644534622,2.449184401546281,4.5412666913286515
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,20,71,10000,51.46794024618637,3.843793243216928e-05,1.5716642775803384,4.4985764235894115,8.139634277724376,1.9783212096058378e-05,0.8089032312557052,2.3153246256220266,4.189302106317285
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,21,71,10000,51.46794024618637,0.0001910929574750612,1.5156508844982575,4.362202942847871,8.144718292788248,9.835160916793484e-05,0.7800742915743584,2.2451360040423256,4.191918744152467
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,22,71,10000,51.46794024618637,8.41158565725446e-05,1.5122460354017746,4.243726138632121,8.296677307031368,4.329269879832509e-05,0.7783218858759078,2.184158433242972,4.2701289188018094
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,23,71,10000,51.46794024618637,7.146874578358109e-05,1.4460597854733002,4.123576612046866,7.782390049223592,3.678349137459236e-05,0.744257186311529,2.1223199466939975,4.005435860259553
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,24,71,10000,51.46794024618637,0.0014981587241463385,1.405679629462902,3.9694506911086243,8.087424600279219,0.0007710714369366656,0.7234743517447804,2.042994509801619,4.162430860727085
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,25,71,10000,51.46794024618637,1.3913510915000989e-07,1.3264348843364524,3.8587142782503934,6.873945278109455,7.160997483879328e-08,0.6826887136748567,1.9860007590009743,3.5378780482929244
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,26,71,10000,51.46794024618637,1.015875169014694e-05,1.31978673096814,3.7452472088443582,7.6159981674847765,5.228500249643275e-06,0.6792670460717787,1.9276015955199775,3.919797385991714
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,27,71,10000,51.46794024618637,0.0005953657895677363,1.26631399630459,3.56237454808553,6.925523231618949,0.00030642250882095823,0.651745730947141,1.8334808037540127,3.564424158585396
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,28,71,10000,51.46794024618637,0.00024916366155942963,1.2316010423666552,3.5362621442076687,7.075540871495047,0.0001282394044466173,0.6338796885566786,1.820041287329312,3.641635147835565
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,29,71,10000,51.46794024618637,0.0001377772277001985,1.2104828300830723,3.491160628313856,6.118248929325743,7.09111012255903e-05,0.6230105796775014,1.7968284660789602,3.148936703058311
lucknow_madhwal_lcs,Lucknow,LCS Madhwal validation,30,71,10000,51.46794024618637,0.00011490162081753867,1.1808347767403555,3.301990649536969,6.755637348237537,5.9137497544270445e-05,0.6077513372989145,1.6994665744383488,3.476987393639945
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,2,277,10000,10.253490712654873,0.00033969213907351014,3.8367681867847345,13.357279504411718,55.57289570266201,3.4830301931521035e-05,0.3934026696980695,1.3695874134482084,5.698161699625828
