dataset_key,city,network,sample_size,dates_evaluated,n_sensors_available_min,n_sensors_available_median,n_sensors_available_max,best_ape_min_over_days_pct,best_ape_median_over_days_pct,median_ape_median_over_days_pct,p95_ape_median_over_days_pct,worst_ape_median_over_days_pct,worst_ape_max_over_days_pct,best_absolute_error_min_over_days_ugm3,best_absolute_error_median_over_days_ugm3,median_absolute_error_median_over_days_ugm3,p95_absolute_error_median_over_days_ugm3,worst_absolute_error_median_over_days_ugm3,worst_absolute_error_max_over_days_ugm3,date_at_best_ape,date_at_worst_ape,date_at_worst_absolute_error
dhaka_lcs,Dhaka,LCS,13,365,15,33.0,35,1.1900007522142966e-06,0.0008027963809378051,4.731339030339532,12.833441378107132,22.378117753136312,62.567147466620874,9.533359417446263e-07,0.00031290888707680153,1.5957788930263916,4.241540225007971,7.528751036391078,79.33676384871356,2023-02-03,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,14,365,15,33.0,35,2.0837862617482595e-06,0.0006697046952462403,4.413768418446445,12.001304832438185,20.963663730985676,67.19338802127275,9.208877767008516e-07,0.00022140698013295435,1.5191608938296746,3.973154073964894,7.123827959291496,85.20295671914235,2023-01-30,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,15,365,15,33.0,35,0.0,0.0006379061393744185,4.129101249578316,11.304644834086947,19.862264461791327,67.43813855525308,0.0,0.00023318271027505943,1.404631640573367,3.7958654264296783,6.548318689363413,85.5133067367231,2022-04-05,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,16,354,16,33.0,35,0.0,0.000591755832932336,3.9231499450866663,10.637375906172512,18.374794375303434,53.63981039429577,0.0,0.00017051490744179887,1.4282672646281327,3.8708427108208454,6.608906639413187,68.01666916990824,2022-04-01,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,17,345,26,33.0,35,3.764729838910111e-07,0.0005221230362522916,3.6944699935247507,10.066492080765745,17.4319205976383,46.211554178525496,7.000696555792274e-08,0.00019186967716322556,1.4008957634437103,3.848273474314215,6.457912457912464,58.59744785231963,2022-10-06,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,18,345,26,33.0,35,8.8555002054219e-07,0.00043752540106864295,3.48109125291377,9.451415503446364,16.570010022745755,48.886857614450655,2.772565341757627e-07,0.00015668910014099424,1.3112117354665145,3.5984286292481897,6.261361714975841,61.98980191533458,2023-01-10,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,19,345,26,33.0,35,1.8259727895843078e-07,0.00040357355926581986,3.2553874772209674,8.917874938653567,15.534447060747578,46.73522081029471,1.9972153708636142e-08,0.00014450788401632053,1.214430868838761,3.3348715356953567,5.871661065542646,59.26147070748161,2022-07-08,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,20,345,26,33.0,35,7.704317967353871e-08,0.00041144191145272007,3.0296837750309837,8.324563614752453,14.831351550618354,42.21889216769095,1.6146117332027643e-08,0.00013478588824966664,1.1586022851444078,3.168575596316428,5.6625838594660465,53.53464898890171,2022-05-12,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,21,345,26,33.0,35,1.7455889029003437e-07,0.00037750304339256255,2.8182227060766003,7.831470271404487,14.006991108879943,39.032637065151064,3.4598823361875475e-08,0.0001396841356609002,1.0685265567831408,2.9374551414768675,5.255476039655548,49.49439497593387,2022-05-11,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,22,345,26,33.0,35,4.049588071602535e-08,0.0003479118598801453,2.648821550161375,7.2977847182547455,13.26754328268864,37.103075821622205,2.6909646066997084e-08,0.0001376506433032887,0.9930239898989903,2.7227825126262633,4.970221765974703,47.047661332033144,2022-09-29,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,23,345,26,33.0,35,3.373629649936873e-07,0.00037204722393704856,2.475563765925754,6.773343474434043,12.33328136952224,36.83813148828376,7.070193674962866e-08,0.0001252048361237712,0.9092635725787872,2.5410339811154965,4.606913679853953,46.711705053726845,2022-05-12,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,24,345,26,33.0,35,1.2632899917989455e-06,0.000321676835488365,2.2569941032087764,6.270549260102913,11.914233964157797,30.97003362702708,5.218840151144377e-07,0.00012320228775308806,0.8211414727546966,2.3296342329545423,4.267698979831263,39.27080494703695,2022-05-08,2022-05-19,2022-05-19
