target_N_star,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_ape_median_pct,baseline_absolute_error_median_ugm3
30,2026-02-05,20,1.3439355160919848,1.0877843143081938,1.2172698985933024,1.5275016485748059,1.7718388214045588,1.3786790746170434,0.22430343446743695,100,2.320893355725479,0.4962760223048352
30,2026-02-06,5,3.1019261337458253,2.2676596104281814,2.781216721064457,3.509711392689499,4.283545909226166,3.178256710319069,0.5866771290289812,100,3.252607292197588,0.6643656716417929
30,2026-02-06,10,1.969079053866122,1.4120512808023085,1.7458750542367003,2.304091137797446,2.754117871112732,2.0425842535734695,0.40794153612967116,100,2.4105281810426313,0.4923656716417923
30,2026-02-06,20,0.9708365264825699,0.7047567864531732,0.8395781628853906,1.134331312287376,1.3272494334150808,0.989620340779645,0.19492868810516778,100,1.673142652541907,0.3417500000000029
30,2026-02-07,5,4.156999060301496,2.8540101402070004,3.479384604601432,4.736740082927048,15.608259539010357,5.30011728758864,3.729356913239342,100,4.583462950289303,0.2199104477611939
30,2026-02-07,10,2.6704295216679954,1.7647236473309158,2.188062713332052,3.142556998652294,16.259231256030525,4.060641500409063,4.312996168736635,100,3.440863560007463,0.1650895522388058
30,2026-02-07,20,1.2868510739487602,0.8276043752935232,1.0592885444773263,1.5378276511323041,7.369423981701954,1.9056338812070055,1.916969958981475,100,2.6592733154980355,0.1275895522388057
30,2026-02-08,5,4.824369327608385,3.718248668822342,4.2549057359275935,5.504024451172972,7.4764529488876015,5.013494680932038,1.1199927987675853,100,5.220474023719442,0.4263880597014911
30,2026-02-08,10,3.0607197278204277,2.2983692956447555,2.657421157173586,3.5743036869828964,5.246812960924282,3.2575483507852767,0.8407315372809172,100,3.6927800010964456,0.3016119402985087
30,2026-02-08,20,1.4497331407215308,1.1102192248090728,1.3275317403647973,1.7375296344745628,2.532890665998298,1.5810823396483633,0.4088503869228324,100,2.6888145752243173,0.2196119402985079
30,2026-02-09,5,3.2008666155071186,2.2256272335783542,2.7629349374197445,3.5952118829215047,4.165268089747508,3.2077706807230753,0.5863921487006913,100,3.3198232724271053,0.6513059701492523
30,2026-02-09,10,2.0583726839935097,1.4007295069751355,1.741656923222469,2.307381616627242,2.872871208214761,2.07550050318536,0.42118578545711394,100,2.376845112318626,0.4663059701492535
30,2026-02-09,20,0.9939896875579237,0.6689548856832304,0.8437855406251428,1.1195263548894383,1.33040420567611,1.004276405313374,0.20355871708550877,100,1.716189820476591,0.3366940298507472
30,2026-02-10,5,2.736587445104073,1.7919937137313067,2.367233497121768,3.2379177482147172,4.56656796539644,2.870679265540701,0.7739266315913823,100,2.800988196541292,0.5668888888888848
30,2026-02-10,10,1.8566541186390095,1.1369832243271198,1.5361306383069588,2.2356134444289877,3.8783090737302537,2.0272981144682625,0.7851455624302813,100,2.089486686796593,0.4228888888888882
30,2026-02-10,20,0.9075570218439215,0.542381856015651,0.748482525550485,1.0655283775760256,1.8322096854172292,0.9800106133603487,0.36714159996899004,100,1.5544880592918082,0.3146111111111143
30,2026-02-11,5,3.9594750017301426,2.886015901117458,3.4477641786477897,4.67511802939216,7.71976031078225,4.290238773714379,1.362788810710156,100,4.097435847983107,0.4721111111111113
30,2026-02-11,10,2.5978045592733556,1.798616460457586,2.200856993197332,3.132735557112318,7.095995674450503,3.0814975427320417,1.5040112806459436,100,3.088747239606916,0.3558888888888862
30,2026-02-11,20,1.2765529083532043,0.8766462533657409,1.0650018315231562,1.5342724761017186,3.3385345597690876,1.4930105538687177,0.7020951761374952,100,2.276058592657602,0.2622500000000007
