target_N_star,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_absolute_error_median_ugm3
30,23,0.06394627297419175,0.04796409984693817,0.05513336591879581,0.07677073046689564,0.12875399467165352,0.07077834132141585,0.023957869995876502,100,0.1375612437731117
30,24,0.05751186292134847,0.04348842044007815,0.04988742254192213,0.06740690540574068,0.10539150093341179,0.06244396215664753,0.01879594521673505,100,0.1321613494229332
30,25,0.05149255013187215,0.038846326657378416,0.044294703896592624,0.05908097991382655,0.08646432013120084,0.054464035588127985,0.014572929533918444,100,0.1306150339719778
30,26,0.04397208999687452,0.03396696109679485,0.03843547273779868,0.051462100426335144,0.0676650773878154,0.046188903407840584,0.010720536616456418,100,0.1283359363517719
30,27,0.03570549352136698,0.028406937127262433,0.031873180352194774,0.04238930063820878,0.05092595535984534,0.03785557491149821,0.0077337674233126244,100,0.1277459067296984
30,28,0.028690623924584102,0.022304955573260222,0.025052037774371705,0.03229862460272326,0.03922929480116561,0.028978291415856096,0.0052938836679104545,100,0.124088533547634
30,29,0.0189480186287998,0.012660586236591253,0.015603108947049416,0.02114643224707935,0.025116653717643978,0.018744907227605568,0.003998929198634263,100,0.1205896870855287
30,30,0.0,0.0,0.0,0.0,1.7763568394002505e-15,3.019806626980426e-16,7.165729095291918e-16,100,0.1200257445494319
40,2,0.3942316469735019,0.33138669239956453,0.37216928527451953,0.43295028491098675,0.5038667685143264,0.40257251444109143,0.055116693195656624,100,0.3934026696980695
40,3,0.3276181585280584,0.2659121642820851,0.3034989523708971,0.3639793109996501,0.4361385351769041,0.33677014034833397,0.05294822177274881,100,0.3303906770781424
40,4,0.2835796035948319,0.23697675294215065,0.26304425003350507,0.32380492729833366,0.38586724490020824,0.2969335659570952,0.050691068937196035,100,0.2941037064542886
40,5,0.2528847202623852,0.20357511128029407,0.23126794972522302,0.2966516376253585,0.3678084911127248,0.26764301122620093,0.0518782025066677,100,0.2652473493101821
40,6,0.22929619511607457,0.18683172825745734,0.21104304851520972,0.2777392496928579,0.3530196209639366,0.24659545651096956,0.052252085751452466,100,0.2503438455460314
40,7,0.20909550975587,0.172412348569202,0.1923583622337106,0.25047697504266186,0.3419431313061515,0.22907836578971214,0.05432794304596227,100,0.232874367618959
40,8,0.19391850286198364,0.15771797671042803,0.17619776318041724,0.23377345190252807,0.33598844112398996,0.21482045753417917,0.05568375809748619,100,0.2164404204665206
40,9,0.17965380202025205,0.1440908009986252,0.1650609818722728,0.2205868479575699,0.3253857186253257,0.20237175243331643,0.056662425165040275,100,0.2073946908535644
40,10,0.16888549561136035,0.13552890083983607,0.15362339753114562,0.20315866203466282,0.3232093089253975,0.1918856931087735,0.05862066077833004,100,0.1952400931839895
40,11,0.15701381398767333,0.12764382029170887,0.14424864208234678,0.19552464256164237,0.3140632347963343,0.18255253747810665,0.059433746578324405,100,0.1914938039412348
40,12,0.14670280888483678,0.12128000342363014,0.1352461551212183,0.18519622177874062,0.30631716831848144,0.17347464162345616,0.059498347377801554,100,0.1834900039756979
40,13,0.13971628733062413,0.11221640223933624,0.1277464735580316,0.1752551360083605,0.29398274582396905,0.16476544510684327,0.057839935263208735,100,0.1776259184871547
40,14,0.1317910349549396,0.10604774474880285,0.1209622154570984,0.16642709307862025,0.28873812893947265,0.15687809186949667,0.05734643731647867,100,0.172735492388778
40,15,0.12565639408377116,0.10078925200001917,0.11528024563914108,0.1568456395699167,0.27694261746641835,0.149537113288536,0.055889359576705495,100,0.1679058126198898
40,16,0.11925592730156431,0.09659922936316105,0.10859305804991415,0.14902046195886287,0.26580095284597016,0.14230307450677246,0.05401956813622123,100,0.1585477158044863
40,17,0.11252152214122724,0.09051247981814106,0.10412426272957442,0.1411046912810059,0.25542089470300305,0.13567232194392276,0.05194958517572567,100,0.1613817452652162
40,18,0.10779193069693793,0.08593479575786298,0.09921691809717181,0.1339287014371484,0.24440607494451688,0.12928243413706686,0.049858323749315016,100,0.1509412794477711
40,19,0.10173024142520548,0.08290297224547553,0.09379837096751564,0.1283304384910613,0.2317356667647286,0.1229888146052716,0.047606065997143565,100,0.1511333988148058
40,20,0.09751958258235272,0.07871156809298405,0.08959813131349148,0.12083086838280455,0.2209058194359192,0.11708972071823397,0.04510921386320852,100,0.1452151244524806
40,21,0.0933323804480155,0.0748372637929747,0.0843647575791493,0.11595208466037077,0.21104661824416399,0.11144844246920364,0.04337082537018212,100,0.1397936779048176
40,22,0.08762850960535928,0.07119426763124741,0.07974820650546355,0.11125103831798544,0.19948138256562414,0.10562821334362617,0.04095465072593871,100,0.1370145971757423
40,23,0.08331487597202347,0.06765827203267172,0.07655527657036187,0.10612244479535482,0.18883813415550893,0.10035482511172043,0.03844967822324965,100,0.1375612437731117
40,24,0.0793119614961828,0.06451172991625756,0.0730054647491063,0.09951141225165938,0.1777242300653557,0.09508932915459738,0.03603578485629765,100,0.1321613494229332
40,25,0.07476950413598615,0.06037382243910101,0.06891944743343514,0.09499026878243289,0.1666912158459247,0.08961639624108755,0.03333526169157528,100,0.1306150339719778
40,26,0.07101834347643265,0.057368360043352905,0.06530318536582969,0.08940283257190917,0.15475044936472462,0.08455804159597666,0.03083093901446947,100,0.1283359363517719
40,27,0.0676394443631807,0.05543524270297797,0.06183494407787715,0.0835225182589221,0.14385149074719603,0.0795993582459166,0.028209941114753438,100,0.1277459067296984
40,28,0.06325092755507233,0.05165372990027235,0.05833421983108056,0.07792358993458492,0.13162448706391028,0.0742904217345764,0.02521539827638083,100,0.124088533547634
40,29,0.060157494139564616,0.048842658251919156,0.05440425380661007,0.07402588464149518,0.11882739985846706,0.06916656853948677,0.022272510334238032,100,0.1205896870855287
40,30,0.05559923715941606,0.04529371558361546,0.05127282016213375,0.06892257490339371,0.10788747798521592,0.06408872195746575,0.01960468242020491,100,0.1200257445494319
50,2,0.399164157360393,0.32747819082145047,0.3715048929716822,0.4365136186780556,0.46798221728887507,0.4020488213762875,0.04629709308782925,100,0.3934026696980695
50,3,0.33732227977303086,0.28127286031256127,0.3089802435181026,0.36197402875703566,0.40779001089616146,0.33930618090311154,0.041420739261819814,100,0.3303906770781424
50,4,0.2989787821863388,0.24087523756404083,0.2700783892503913,0.32503913687424735,0.3703407057134974,0.30051868095069123,0.03971265980321906,100,0.2941037064542886
50,5,0.2702070720285703,0.21517674342067905,0.24230837574310882,0.29979831553065606,0.343225696041688,0.2725107109824079,0.03894260694502983,100,0.2652473493101821
50,6,0.24729041568400767,0.19630230077754218,0.22295604850177964,0.2810324311636774,0.3216136799392109,0.25205584664647196,0.03936498057158551,100,0.2503438455460314
50,7,0.2290192985390309,0.17709689658199085,0.2063167021287522,0.2665949048363474,0.3133841948962627,0.23675776353306158,0.04117235062957593,100,0.232874367618959
50,8,0.21355700520078136,0.16439016380668886,0.19077338873323813,0.2537268717835588,0.30390812742327566,0.22310846818966223,0.04312257647027806,100,0.2164404204665206
50,9,0.20060526088783348,0.15722305313596152,0.17773207067611896,0.2517218073286591,0.2922806803103882,0.21247485926356333,0.04458466501897259,100,0.2073946908535644
50,10,0.18843056584709084,0.14619974885312886,0.16637562777973902,0.2434697164722197,0.28791717228304337,0.20278014030421296,0.04666047486542064,100,0.1952400931839895
50,11,0.17924561058736144,0.1398275536268717,0.15671881967640866,0.2401560336479096,0.2778037501546163,0.1948534646602948,0.04820600832310777,100,0.1914938039412348
50,12,0.16803382273303535,0.12866198685522662,0.14884397133348615,0.23979201775302017,0.2726587800118167,0.18681977179748416,0.049731491722984855,100,0.1834900039756979
