dataset_key,city,scenario,n,period_mdape_pct,daily_fraction_days_mdape_le_10,daily_valid_days_evaluated,period_seed,daily_seed
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,100,0.5638050189341872,1.0,272,3355266648,700679913
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,150,0.37625532262999983,1.0,272,2270430852,3768816045
chicago_lcs_corrected_no_collocation,Chicago,S5_drop_gap_gt_30d,200,0.2520924106576373,1.0,272,3982773636,2734949945
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,1,5.128601201378394,0.8860294117647058,272,3940194109,368734746
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,2,3.811604986192866,0.9852941176470589,272,105969207,669783294
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,3,3.2585270998451703,0.9963235294117647,272,2316482072,2599225138
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,5,2.6193700414111687,1.0,272,3652254499,3624830215
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,7,2.2754463450364053,1.0,272,2545136832,2797687454
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,10,1.9371700825694638,1.0,272,946254717,2752671802
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,15,1.6111769186182567,1.0,272,1987498105,2511358559
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,20,1.3637162775359988,1.0,272,832895782,3782686356
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,30,1.1705764274350776,1.0,272,3592641813,1869628173
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,40,1.0230640973262104,1.0,272,3253102327,2663981845
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,50,0.895914412219565,1.0,272,2098960798,1819891319
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,75,0.7115615955002087,1.0,272,355896462,1571545091
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,100,0.5767687847339975,1.0,272,803547650,428778787
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,150,0.39747644123182235,1.0,272,2549780489,3759730871
chicago_lcs_corrected_no_collocation,Chicago,S6_period_50pct,200,0.25942881000397233,1.0,272,4076678587,534849582
dhaka_lcs,Dhaka,S0_baseline,1,11.404801307236985,0.0273972602739726,365,4855577,182074694
dhaka_lcs,Dhaka,S0_baseline,2,8.627394124102446,0.11232876712328767,365,1226967779,4284546570
dhaka_lcs,Dhaka,S0_baseline,3,7.633509740375929,0.29863013698630136,365,3178779288,4046610808
dhaka_lcs,Dhaka,S0_baseline,5,6.056668118693371,0.7068493150684931,365,347733487,2133432343
dhaka_lcs,Dhaka,S0_baseline,7,5.006936884301394,0.8931506849315068,365,3945946985,2150365860
dhaka_lcs,Dhaka,S0_baseline,10,4.011957895968802,0.9698630136986301,365,3119834394,2866351483
dhaka_lcs,Dhaka,S0_baseline,15,2.919855474800542,0.989041095890411,365,2677321859,594576321
dhaka_lcs,Dhaka,S0_baseline,20,2.163425710420332,0.9971014492753624,345,3622804209,4178729664
dhaka_lcs,Dhaka,S0_baseline,30,1.0032056160658631,1.0,320,3720289562,2239739098
