target_N_star,selection_strategy,selection_strategy_label,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws
50,kmeans_stratified,k-means stratified,21,1.0401097727340534,0.837088193784169,0.9471533397114058,1.1244006009764262,1.9553168988174583,1.1705946602900061,0.3815874567958612,50
50,kmeans_stratified,k-means stratified,22,1.0046494657177865,0.8095232297624478,0.9052605004827341,1.0777526826187331,1.8896009234279494,1.126880784858564,0.37011736335430906,50
50,kmeans_stratified,k-means stratified,23,0.9637937303136367,0.7715382157618719,0.8548709934456613,1.0282550372540573,1.8191246369682477,1.0801431459029793,0.3600429317730855,50
50,kmeans_stratified,k-means stratified,24,0.921469894171322,0.7471992801242222,0.8326089980807079,1.0002258340939112,1.7504462828977039,1.041972212934134,0.34740030663664023,50
50,kmeans_stratified,k-means stratified,25,0.8818907026162306,0.7004454337944039,0.8033547332487198,0.950150844791414,1.6941949518312944,0.9998561320877335,0.33508454904279056,50
50,kmeans_stratified,k-means stratified,26,0.8555792215044933,0.6829960623737321,0.7630398432797204,0.9191088575132897,1.6289228854234217,0.9615836236907452,0.32272220268400065,50
50,kmeans_stratified,k-means stratified,27,0.8154211401731329,0.6593722365890029,0.742413474466417,0.8894107803510356,1.5485140551112604,0.9233424951815458,0.3070199593215985,50
50,kmeans_stratified,k-means stratified,28,0.7728823513374705,0.6284338368964824,0.7064429926468349,0.8585555292336132,1.4828531265812823,0.8847381668013179,0.29255932826613146,50
50,kmeans_stratified,k-means stratified,29,0.7546639195457289,0.6098701028084788,0.677286912244357,0.8140150732340663,1.4147298376820021,0.8480377138974898,0.27546990392619997,50
50,kmeans_stratified,k-means stratified,30,0.7205715586927595,0.5813732925211648,0.6461745399241572,0.788933694777191,1.3440667271954023,0.8113837691548753,0.2638302722527408,50
50,random,Random,2,3.8217302394146193,3.0810988498717133,3.5125774324307777,4.141657456676262,4.654178849786442,3.8539843294521132,0.5343284196347107,50
