target_N_star,selection_strategy,selection_strategy_label,time_index,selected_mean_abs_error_median_vs_full_ugm3,selected_mean_abs_error_p5_vs_full_ugm3,value_p25,value_p75,selected_mean_abs_error_p95_vs_full_ugm3,selected_mean_abs_error_mean_vs_full_ugm3,selected_mean_abs_error_sd_vs_full_ugm3,n_outer_draws,selected_mean_ape_median_vs_full_pct,selected_mean_ape_p5_vs_full_pct,selected_mean_ape_p95_vs_full_pct
50,kmeans_stratified,k-means stratified,2026-02-26,0.198500000000001,0.018880369003699115,0.13350036900369933,0.32334509611039675,0.5055266190036938,0.22277565327192342,0.15737758005973512,50,1.1626476989545775,0.11058547898017125,2.960953956397627
50,kmeans_stratified,k-means stratified,2026-02-27,0.20610540171458958,0.025352437284136366,0.11660869575525723,0.34373397314315657,0.5518561945224186,0.23847859098121532,0.16678280414296687,50,1.2423555590188988,0.15281861189761942,3.326461147259732
50,kmeans_stratified,k-means stratified,2026-02-28,0.07384081632652961,0.018498698884758812,0.04346267273816018,0.16502614748501543,0.3681569888475827,0.12308657290689708,0.11729367218563551,50,1.0145041468413656,0.2541549195064211,5.058134653101237
50,kmeans_stratified,k-means stratified,2026-03-01,0.1034999999999997,0.019105190901797988,0.06060176010924834,0.14617867337455492,0.516657423564221,0.15996968375821435,0.16408695088825975,50,2.5242986925852646,0.4659633663285091,12.60094356345544
50,kmeans_stratified,k-means stratified,2026-03-02,0.0860204081632645,0.008070509259260962,0.038647453703704704,0.17245115268329614,0.3256363425925925,0.11996360376964015,0.10712466630034884,50,1.1994913031215224,0.11253731381827317,4.540759213543494
50,kmeans_stratified,k-means stratified,2026-03-03,0.1994179406079759,0.04759011070110741,0.12031147404396147,0.42740110701106193,0.6082023570110651,0.26445414899892544,0.1866686013729934,50,1.217499857050265,0.2905503526862074,3.7132380389700486
50,kmeans_stratified,k-means stratified,2026-03-04,0.3026117138305171,0.08846735752851576,0.17942191791214768,0.48249032698580674,0.7277161755557242,0.3603974200693079,0.22805117523996715,50,1.1759805697751995,0.343793345591233,2.827980688295312
50,kmeans_stratified,k-means stratified,2026-03-05,0.40498523985240276,0.07538319903607302,0.1891630280894665,0.545615068905791,0.9521072601475966,0.4212013247256506,0.27440661995597515,50,1.7605003464825788,0.3276962589311621,4.138879634204224
50,kmeans_stratified,k-means stratified,2026-03-06,0.2397916666666653,0.054291005291009144,0.14126164021164023,0.42401095993953497,0.6278381481481519,0.2866325790756025,0.188852931093619,50,1.2952713530340212,0.29326116648839484,3.3913637573097573
50,kmeans_stratified,k-means stratified,2026-03-07,0.0607271277470085,0.0036515818223204826,0.028374488847583645,0.13499260298915194,0.22764489606251312,0.08324844753919944,0.07142942337003705,50,1.0493667647760523,0.06309945398977393,3.9337112911727954
50,kmeans_stratified,k-means stratified,2026-03-08,0.08995110544217733,0.004444043370106377,0.03138914800994996,0.1349427924154738,0.3177887126865677,0.11046276454936717,0.10515033341423616,50,1.1394880982848057,0.05629652357916746,4.025703231722599
50,kmeans_stratified,k-means stratified,2026-03-09,0.05896471088435451,0.006131940298506767,0.027997306198598082,0.08326889488726663,0.16536663417605815,0.06633322097201519,0.05186075452930562,50,0.927281303442536,0.09643112816720142,2.600562027437453
50,kmeans_stratified,k-means stratified,2026-03-10,0.13370000000000015,0.022489361702126943,0.07717899659864313,0.22957040816326346,0.44954346938775347,0.16854766227416032,0.1315571674721335,50,1.29428848015489,0.21770921299251636,4.35182448584466
50,kmeans_stratified,k-means stratified,2026-03-11,0.13622076331326616,0.018851088308457387,0.1015878832876429,0.2038943039902532,0.3220377368260735,0.1556064791208953,0.10252447978225215,50,1.8244642409197156,0.252480867708152,4.313192209286834
50,kmeans_stratified,k-means stratified,2026-03-12,0.06790794895448782,0.0034650952631988478,0.031293772121394836,0.11100214624595095,0.1865001973040155,0.07992445081323167,0.06108454823084522,50,1.004818734939295,0.05127223973654574,2.759601713881026
50,kmeans_stratified,k-means stratified,2026-03-13,0.29593324829932044,0.1463640982587069,0.2480745659457817,0.5059134017412945,1.0644942350746274,0.389710094975105,0.25715204523558444,50,5.365389231637412,2.653640174629169,19.29971011649462
50,kmeans_stratified,k-means stratified,2026-03-14,0.05705398237361736,0.007517332713753522,0.020025421676026722,0.14498066187441538,0.3919604734086951,0.11320335576726573,0.1300350098707951,50,1.1451323090269707,0.15088062585803272,7.867051225671448
