phase,city,metric_name,target_N_star,selection_strategy,selection_strategy_label,aggregation,value_median,value_p5,value_p95,value_mean,value_sd,n_outer_draws,n_inner_draws,notes
4,Chicago,mdape_at_n10,70,cluster_concentrated,Cluster-concentrated,period,1.7801430998979646,1.5377057681290598,2.210365255254719,1.8133991842433788,0.2297017766910817,20,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,70,cluster_concentrated,Cluster-concentrated,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,70,cluster_concentrated,Cluster-concentrated,period,2.0,2.0,2.0,2.0,0.0,20,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,70,equidistant,Spatially balanced,period,2.154093725016189,1.7706072405988045,2.5754624240615787,2.156161692875968,0.2258219023837304,50,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,70,equidistant,Spatially balanced,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,70,equidistant,Spatially balanced,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,70,kmeans_stratified,k-means stratified,period,1.924506184828744,1.5080651513733991,2.347849397152922,1.8866142831857704,0.2819186053047322,50,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,70,kmeans_stratified,k-means stratified,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,70,kmeans_stratified,k-means stratified,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,mdape_at_n10,70,random,Random,period,1.9848167420091969,1.4742954175801657,2.418220119380436,1.9783759979422388,0.3011020926025901,50,10000,Period MdAPE at n=10 across outer strategy-selected finite populations.
4,Chicago,n_for_mdape_le_10pct,70,random,Random,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 10% within each strategy-selected finite population.
4,Chicago,n_for_mdape_le_5pct,70,random,Random,period,2.0,2.0,2.0,2.0,0.0,50,10000,First n where period MdAPE <= 5% within each strategy-selected finite population.
4,Chicago,absolute_error_at_n10_ugm3,30,anti_cluster,Anti-cluster,period,0.24335415919775594,0.23540319499862106,0.2500283303944454,0.24234648396059164,0.006134513792402077,20,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,30,circumferential,Circumferential,period,0.16013381317544084,0.14021084427702032,0.24244804826175007,0.18274029162233632,0.0441915937002738,20,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,30,cluster_concentrated,Cluster-concentrated,period,0.16505162949879226,0.12487587907824835,0.25559634774827894,0.1779332592368585,0.06104952505511391,20,10000,Period median absolute error at n=10 across strategy-selected finite populations.
