target_N_star,selection_strategy,selection_strategy_label,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws
30,random,Random,14,0.12432892786868166,0.08272791553675844,0.10368197666429668,0.1543638684184392,0.3092924078440561,0.14971857237420144,0.07190753210954368,50
30,random,Random,15,0.11539598802224571,0.07619937407117479,0.09571334550095778,0.1440785945029588,0.29049938770527006,0.14030455471885306,0.06771595149936686,50
30,random,Random,16,0.10608206222622041,0.07148860212036938,0.0892508849448006,0.13458891015239915,0.26998909004313754,0.13066480080824855,0.06286090102151293,50
30,random,Random,17,0.10149167789547198,0.066869936873481,0.08401229875455773,0.12459784560570686,0.25185974724304055,0.12208233572154216,0.05853553515572413,50
30,random,Random,18,0.09249740272176243,0.06274778915342286,0.0784277357942158,0.1164020772717762,0.23308874608051028,0.1133665554746279,0.05337262691708428,50
30,random,Random,19,0.08682939254063715,0.05862702941878632,0.07328351611302475,0.10767914352058927,0.2116016967757254,0.10486404052874067,0.0482210218790305,50
30,random,Random,20,0.08154294791173156,0.054540695428209454,0.06842252557842632,0.10201357914798193,0.19091248798099567,0.09658914960203013,0.04309405513002301,50
30,random,Random,21,0.07447530301106564,0.05067175571416951,0.06315683356995083,0.0943790558341755,0.1679563555961668,0.08801548532916251,0.036885653679698774,50
30,random,Random,22,0.07003242543308641,0.04597475317616735,0.05759142221290148,0.08703661802141593,0.14857401231166953,0.07926428432063813,0.03136329063073318,50
30,random,Random,23,0.0628775751469548,0.04263794926650912,0.05343871357531871,0.08012913178147074,0.12418720814152681,0.07069325527834326,0.025246657472542768,50
30,random,Random,24,0.057510630537350504,0.03856464213300868,0.047854062676703446,0.06974972996769879,0.10187090302250769,0.06202971312586813,0.019428090479624783,50
30,random,Random,25,0.05050523652086092,0.034808653461268116,0.04308293710057187,0.05910122981332333,0.08423794853500585,0.05379099086767503,0.014761158752578406,50
30,random,Random,26,0.045029721064645756,0.030873690791073116,0.03733360105800365,0.0506606442598192,0.06515340206212551,0.04553881102259682,0.010549861834796325,50
30,random,Random,27,0.03656653689120093,0.026624754943191897,0.032048329866603664,0.04085774688971755,0.05103760845324592,0.03736835872717746,0.00750750213326625,50
30,random,Random,28,0.028595573609080382,0.021471259790543408,0.02571528202166462,0.03221565700256779,0.03805458821223659,0.028748427348012466,0.005072417548096686,50
30,random,Random,29,0.018301304902704096,0.013116774466211912,0.016283012009830067,0.021173539466695424,0.027099261263592734,0.018941217605383132,0.004169330261893364,50
30,random,Random,30,0.0,0.0,0.0,0.0,1.7763568394002505e-15,3.907985046680551e-16,8.254200354223274e-16,50
50,anti_cluster,Anti-cluster,2,0.4665164430582651,0.45491596855606103,0.45826092114334127,0.47240764158699955,0.48758170578989457,0.4678139027059915,0.010946703582314513,20
50,anti_cluster,Anti-cluster,3,0.3906675284605101,0.38091814159627313,0.38618150371262794,0.3937984059040378,0.39853867565074197,0.39031602131358556,0.005974900038861289,20
50,anti_cluster,Anti-cluster,4,0.3459682287182013,0.3344158619425604,0.3399435868871148,0.3481052761742611,0.3502397578337215,0.344167415301602,0.0056716708015387895,20
50,anti_cluster,Anti-cluster,5,0.3139499433748001,0.30653943883043083,0.3100142181255212,0.31662621750233844,0.32411386078529303,0.3141508577873889,0.005556969493724465,20
