dataset_key,city,strategy,sample_size,time_aggregation,time_index,n_days_total,n_days_evaluated,ape_mean_pct,ape_median_pct,ape_p75_pct,ape_p95_pct,absolute_error_mean_ugm3,absolute_error_median_ugm3,absolute_error_p75_ugm3,absolute_error_p95_ugm3,median_subset_valid_sensors,min_subset_valid_sensors,reference_mean_ugm3,subset_mean_ugm3,n_reference_valid,n_subset_valid,ape_pct,absolute_error_ugm3,n_draws,daily_p95_ape_median_across_fixed_subsets_pct,daily_p95_absolute_error_median_across_fixed_subsets_ugm3,strategy_label
lucknow_lcs,Lucknow,min_pred_var,10,period,study_period,,,,,,,,,,,,,61.802242631595966,62.608092365925074,71.0,10.0,1.303916654178376,0.805849734329108,,,,Min Pred. Var.
lucknow_lcs,Lucknow,min_ess,10,period,study_period,,,,,,,,,,,,,61.802242631595966,64.29024197525102,71.0,10.0,4.025742817272916,2.487999343655055,,,,Min ESS
lucknow_lcs,Lucknow,random_fixed,20,period,study_period,,,,,,,,,,,,,61.802242631595966,55.631990065905256,71.0,20.0,9.983865152712454,6.17025256569071,,,,Random
lucknow_lcs,Lucknow,max_ess,20,period,study_period,,,,,,,,,,,,,61.802242631595966,64.3933860058053,71.0,20.0,4.192636486761772,2.591143374209331,,,,Max ESS
lucknow_lcs,Lucknow,min_pred_var,20,period,study_period,,,,,,,,,,,,,61.802242631595966,64.41971266848968,71.0,20.0,4.235234718740693,2.617470036893714,,,,Min Pred. Var.
lucknow_lcs,Lucknow,min_ess,20,period,study_period,,,,,,,,,,,,,61.802242631595966,63.31850456638948,71.0,20.0,2.4534092457323444,1.516261934793512,,,,Min ESS
chicago_lcs_corrected_no_collocation,Chicago,random_fixed,5,period,study_period,,,,,,,,,,,,,10.253490712654873,10.767823529411766,277.0,5.0,5.016172844649896,0.5143328167568928,,,,Random
chicago_lcs_corrected_no_collocation,Chicago,max_ess,5,period,study_period,,,,,,,,,,,,,10.253490712654873,9.798830564124577,277.0,5.0,4.434198667280733,0.4546601485302961,,,,Max ESS
chicago_lcs_corrected_no_collocation,Chicago,min_pred_var,5,period,study_period,,,,,,,,,,,,,10.253490712654873,10.65722990834946,277.0,5.0,3.937578011323422,0.4037391956945875,,,,Min Pred. Var.
chicago_lcs_corrected_no_collocation,Chicago,min_ess,5,period,study_period,,,,,,,,,,,,,10.253490712654873,9.869390618801418,277.0,5.0,3.7460422466604277,0.3841000938534549,,,,Min ESS
chicago_lcs_corrected_no_collocation,Chicago,random_fixed,10,period,study_period,,,,,,,,,,,,,10.253490712654873,10.562891944323853,277.0,10.0,3.017520962759705,0.30940123166898026,,,,Random
chicago_lcs_corrected_no_collocation,Chicago,max_ess,10,period,study_period,,,,,,,,,,,,,10.253490712654873,9.205902108042682,277.0,10.0,10.216897191112245,1.0475886046121907,,,,Max ESS
chicago_lcs_corrected_no_collocation,Chicago,min_pred_var,10,period,study_period,,,,,,,,,,,,,10.253490712654873,10.263081865939435,277.0,10.0,0.09354037130715753,0.009591153284562282,,,,Min Pred. Var.
chicago_lcs_corrected_no_collocation,Chicago,min_ess,10,period,study_period,,,,,,,,,,,,,10.253490712654873,10.332335869960724,277.0,10.0,0.7689591722021114,0.07884515730585129,,,,Min ESS
