dataset_key,city,sample_size,time_aggregation,strategy,strategy_label,ape_value_pct,random_mc_ape_value_pct,random_baseline_strategy,ape_delta_vs_random_pct_points,absolute_error_value_ugm3,random_mc_absolute_error_value_ugm3,absolute_error_delta_vs_random_ugm3,beats_random_by_ape
dhaka_lcs,Dhaka,20,daily,max_ess,Max ESS,3.6186427545357307,3.363648665039797,random_fixed_mc,0.2549940894959337,1.3737408954938388,1.1440743119317283,0.22966658356211056,False
dhaka_lcs,Dhaka,20,daily,min_pred_var,Min Pred. Var.,5.1736042672714,3.363648665039797,random_fixed_mc,1.8099556022316028,1.611004236798479,1.1440743119317283,0.46692992486675067,False
dhaka_lcs,Dhaka,20,daily,min_ess,Min ESS,7.1321455730644505,3.363648665039797,random_fixed_mc,3.7684969080246535,2.513218893123785,1.1440743119317283,1.3691445811920566,False
dhaka_lcs,Dhaka,20,period,random_fixed,Random,5.193953648444616,2.1201914762771157,random_fixed_mc,3.0737621721675,2.8643209675039003,1.1692266261255888,1.6950943413783115,False
dhaka_lcs,Dhaka,20,period,max_ess,Max ESS,1.7082780320429962,2.1201914762771157,random_fixed_mc,-0.41191344423411946,0.9420678189864731,1.1692266261255888,-0.22715880713911574,True
dhaka_lcs,Dhaka,20,period,min_pred_var,Min Pred. Var.,5.368432799374125,2.1201914762771157,random_fixed_mc,3.2482413230970097,2.9605413661109097,1.1692266261255888,1.7913147399853209,False
dhaka_lcs,Dhaka,20,period,min_ess,Min ESS,5.532451325564961,2.1201914762771157,random_fixed_mc,3.412259849287845,3.0509930211363994,1.1692266261255888,1.8817663950108106,False
lucknow_lcs,Lucknow,5,daily,random_fixed,Random,6.680705575901078,7.334964773740882,random_fixed_mc,-0.6542591978398047,2.3197528860029024,2.710147960928893,-0.39039507492599057,True
lucknow_lcs,Lucknow,5,daily,max_ess,Max ESS,7.3120776850744305,7.334964773740882,random_fixed_mc,-0.022887088666451838,2.8157935052002276,2.710147960928893,0.10564554427133466,True
lucknow_lcs,Lucknow,5,daily,min_pred_var,Min Pred. Var.,7.164802341396051,7.334964773740882,random_fixed_mc,-0.17016243234483142,2.6846008375817654,2.710147960928893,-0.02554712334712761,True
lucknow_lcs,Lucknow,5,daily,min_ess,Min ESS,6.795658433024264,7.334964773740882,random_fixed_mc,-0.5393063407166183,2.9409305591932196,2.710147960928893,0.23078259826432657,True
lucknow_lcs,Lucknow,5,period,random_fixed,Random,7.255028603619497,8.038502917011012,random_fixed_mc,-0.7834743133915154,4.48377038060061,4.967975076719064,-0.4842046961184536,True
lucknow_lcs,Lucknow,5,period,max_ess,Max ESS,7.286775953012273,8.038502917011012,random_fixed_mc,-0.7517269639987392,4.503390954501434,4.967975076719064,-0.4645841222176301,True
lucknow_lcs,Lucknow,5,period,min_pred_var,Min Pred. Var.,4.3633390475617935,8.038502917011012,random_fixed_mc,-3.675163869449219,2.696641385013308,4.967975076719064,-2.271333691705756,True
lucknow_lcs,Lucknow,5,period,min_ess,Min ESS,18.113697821573183,8.038502917011012,random_fixed_mc,10.07519490456217,11.194671477242771,4.967975076719064,6.226696400523707,False
