dataset_key,city,sample_size,strategy,strategy_label,selection_order,sensor_index,sensor_id,station_name,latitude,longitude
lucknow_lcs,Lucknow,5,random_fixed,Random,4,52,81432147047,Aliganj -II,26.88364,80.93675
lucknow_lcs,Lucknow,5,random_fixed,Random,5,63,81432147062,Tiwariganj,26.89134,81.07359
lucknow_lcs,Lucknow,5,max_ess,Max ESS,1,18,81432144007,Dashauli,26.95845,80.99923
lucknow_lcs,Lucknow,5,max_ess,Max ESS,2,32,81432144026,Itaunja,27.06729,80.89501
lucknow_lcs,Lucknow,5,max_ess,Max ESS,3,39,81432147023,Piparsand,26.74666,80.81857
lucknow_lcs,Lucknow,5,max_ess,Max ESS,4,45,81432147039,Nagram,26.61845,81.14324
lucknow_lcs,Lucknow,5,max_ess,Max ESS,5,49,81432147044,Rahta,27.03761,80.65654
lucknow_lcs,Lucknow,5,min_pred_var,Min Pred. Var.,1,2,81432130005,Rajendra Nagar-II,26.90434,80.76538
lucknow_lcs,Lucknow,5,min_pred_var,Min Pred. Var.,2,9,81432131007,Charbagh,26.83767,80.9345
lucknow_lcs,Lucknow,5,min_pred_var,Min Pred. Var.,3,19,81432144008,Chak Ganjaria,26.79835,81.02416
lucknow_lcs,Lucknow,5,min_pred_var,Min Pred. Var.,4,25,81432144019,Mubarakpur,26.93487,80.89838
lucknow_lcs,Lucknow,5,min_pred_var,Min Pred. Var.,5,43,81432147037,HariKansh_garhi,26.72429,80.97102
lucknow_lcs,Lucknow,5,min_ess,Min ESS,1,2,81432130005,Rajendra Nagar-II,26.90434,80.76538
lucknow_lcs,Lucknow,5,min_ess,Min ESS,2,5,81432131002,Dubagga,26.85468,80.85959
lucknow_lcs,Lucknow,5,min_ess,Min ESS,3,13,81432131013,Kakori,26.9043353,80.7653765
lucknow_lcs,Lucknow,5,min_ess,Min ESS,4,48,81432147043,Amrapali Yojna,26.88655,80.86085
lucknow_lcs,Lucknow,5,min_ess,Min ESS,5,65,81432147065,Balaganj,26.87166,80.88209
lucknow_lcs,Lucknow,10,random_fixed,Random,1,2,81432130005,Rajendra Nagar-II,26.90434,80.76538
lucknow_lcs,Lucknow,10,random_fixed,Random,2,16,81432131016,Jankipuram,26.9152,80.94217
lucknow_lcs,Lucknow,10,random_fixed,Random,3,20,81432144009,Awadh_vihar_yojna,26.76477,80.97511
lucknow_lcs,Lucknow,10,random_fixed,Random,4,25,81432144019,Mubarakpur,26.93487,80.89838
lucknow_lcs,Lucknow,10,random_fixed,Random,5,27,81432144021,LPS Jankipuram,26.92222,80.95233
lucknow_lcs,Lucknow,10,random_fixed,Random,6,33,81432144027,CIMAP,26.89483,80.98249
lucknow_lcs,Lucknow,10,random_fixed,Random,7,43,81432147037,HariKansh_garhi,26.72429,80.97102
lucknow_lcs,Lucknow,10,random_fixed,Random,8,46,81432147040,"Amethi, jagdishpur",26.75155,81.15767
lucknow_lcs,Lucknow,10,random_fixed,Random,9,66,81432147068,Badal Khera,26.83256,80.86087
lucknow_lcs,Lucknow,10,random_fixed,Random,10,68,81432147070,Asharfabad,26.85687,80.89933
lucknow_lcs,Lucknow,10,max_ess,Max ESS,1,13,81432131013,Kakori,26.9043353,80.7653765
lucknow_lcs,Lucknow,10,max_ess,Max ESS,2,18,81432144007,Dashauli,26.95845,80.99923
lucknow_lcs,Lucknow,10,max_ess,Max ESS,3,21,81432144014,Nigoha,26.55383,81.04667
lucknow_lcs,Lucknow,10,max_ess,Max ESS,4,32,81432144026,Itaunja,27.06729,80.89501
lucknow_lcs,Lucknow,10,max_ess,Max ESS,5,39,81432147023,Piparsand,26.74666,80.81857
lucknow_lcs,Lucknow,10,max_ess,Max ESS,6,45,81432147039,Nagram,26.61845,81.14324
lucknow_lcs,Lucknow,10,max_ess,Max ESS,7,46,81432147040,"Amethi, jagdishpur",26.75155,81.15767
lucknow_lcs,Lucknow,10,max_ess,Max ESS,8,49,81432147044,Rahta,27.03761,80.65654
lucknow_lcs,Lucknow,10,max_ess,Max ESS,9,56,81432147053,Ambalika,26.64055,80.9382
lucknow_lcs,Lucknow,10,max_ess,Max ESS,10,63,81432147062,Tiwariganj,26.89134,81.07359
lucknow_lcs,Lucknow,10,min_pred_var,Min Pred. Var.,1,2,81432130005,Rajendra Nagar-II,26.90434,80.76538
lucknow_lcs,Lucknow,10,min_pred_var,Min Pred. Var.,2,9,81432131007,Charbagh,26.83767,80.9345
lucknow_lcs,Lucknow,10,min_pred_var,Min Pred. Var.,3,19,81432144008,Chak Ganjaria,26.79835,81.02416
lucknow_lcs,Lucknow,10,min_pred_var,Min Pred. Var.,4,22,81432144015,Mohanlalganj,26.65071,80.99416
lucknow_lcs,Lucknow,10,min_pred_var,Min Pred. Var.,5,25,81432144019,Mubarakpur,26.93487,80.89838
lucknow_lcs,Lucknow,10,min_pred_var,Min Pred. Var.,6,26,81432144020,HariharNagar,26.88341,81.01356
lucknow_lcs,Lucknow,10,min_pred_var,Min Pred. Var.,7,31,81432144025,Baksi Ka Talab,27.00108,80.88373
lucknow_lcs,Lucknow,10,min_pred_var,Min Pred. Var.,8,43,81432147037,HariKansh_garhi,26.72429,80.97102
lucknow_lcs,Lucknow,10,min_pred_var,Min Pred. Var.,9,44,81432147038,Mall,27.01277,80.73623
lucknow_lcs,Lucknow,10,min_pred_var,Min Pred. Var.,10,62,81432147061,Para,26.81434,80.86674
lucknow_lcs,Lucknow,10,min_ess,Min ESS,1,2,81432130005,Rajendra Nagar-II,26.90434,80.76538
lucknow_lcs,Lucknow,10,min_ess,Min ESS,2,5,81432131002,Dubagga,26.85468,80.85959
lucknow_lcs,Lucknow,10,min_ess,Min ESS,3,7,81432131005,Husainabad,26.8702,80.90413
lucknow_lcs,Lucknow,10,min_ess,Min ESS,4,13,81432131013,Kakori,26.9043353,80.7653765
lucknow_lcs,Lucknow,10,min_ess,Min ESS,5,48,81432147043,Amrapali Yojna,26.88655,80.86085
lucknow_lcs,Lucknow,10,min_ess,Min ESS,6,59,81432147056,Rajajipuram-II,26.84018,80.88633
lucknow_lcs,Lucknow,10,min_ess,Min ESS,7,64,81432147064,Rajajipuram-I,26.84618,80.87375
lucknow_lcs,Lucknow,10,min_ess,Min ESS,8,65,81432147065,Balaganj,26.87166,80.88209
lucknow_lcs,Lucknow,10,min_ess,Min ESS,9,66,81432147068,Badal Khera,26.83256,80.86087
lucknow_lcs,Lucknow,10,min_ess,Min ESS,10,68,81432147070,Asharfabad,26.85687,80.89933
lucknow_lcs,Lucknow,20,random_fixed,Random,1,0,81432130003,Aliganj,26.90173,80.95188
lucknow_lcs,Lucknow,20,random_fixed,Random,2,1,81432130004,"B R Ambedkar University, Lucknow - UPPCB",26.76643,80.9273
lucknow_lcs,Lucknow,20,random_fixed,Random,3,2,81432130005,Rajendra Nagar-II,26.90434,80.76538
lucknow_lcs,Lucknow,20,random_fixed,Random,4,4,81432131001,Transport Nagar,26.77917,80.88506
lucknow_lcs,Lucknow,20,random_fixed,Random,5,7,81432131005,Husainabad,26.8702,80.90413
lucknow_lcs,Lucknow,20,random_fixed,Random,6,9,81432131007,Charbagh,26.83767,80.9345
lucknow_lcs,Lucknow,20,random_fixed,Random,7,15,81432131015,IITR-Hazratganj,26.8594,80.93071
lucknow_lcs,Lucknow,20,random_fixed,Random,8,18,81432144007,Dashauli,26.95845,80.99923
lucknow_lcs,Lucknow,20,random_fixed,Random,9,21,81432144014,Nigoha,26.55383,81.04667
lucknow_lcs,Lucknow,20,random_fixed,Random,10,23,81432144016,Lohiya college,26.85114,81.03126
lucknow_lcs,Lucknow,20,random_fixed,Random,11,24,81432144017,Aziz Nagar,26.92933,80.92733
lucknow_lcs,Lucknow,20,random_fixed,Random,12,37,81432147004,Anand Nagar,26.82169,80.92019
lucknow_lcs,Lucknow,20,random_fixed,Random,13,38,81432147008,CMS_Kanpur Road,26.78976,80.8943
lucknow_lcs,Lucknow,20,random_fixed,Random,14,43,81432147037,HariKansh_garhi,26.72429,80.97102
lucknow_lcs,Lucknow,20,random_fixed,Random,15,48,81432147043,Amrapali Yojna,26.88655,80.86085
lucknow_lcs,Lucknow,20,random_fixed,Random,16,51,81432147046,CMS_IndNgr,26.87444,80.97576
