Sensor_ID,Latitude,Longitude,Station_Name
DLZBV6061,41.7392967,-87.65309402456,Auburn Gresham 4
DMAEX1156,41.7003247,-87.58631302026,South Deering 9
DMAFX5938,41.73883825,-87.5685253,Avalon Park 2
DMARJ5120,41.79964665,-87.60179992085,Hyde Park 1
DMFEL5431,41.7873492,-87.80034666308,Garfield Ridge 4
DMHRT7456,41.76441945,-87.68673944938,Chicago Lawn 3
DMIYV7889,41.96313028153,-87.85304850279,O'Hare 2
DMKJB8675,41.73896995,-87.58611561643,Avalon Park 3
DMLBL6950,41.77747453159,-87.72038498734,West Lawn 2
DMLFU0523,41.7130402,-87.5843047413,Pullman 2
DMLRY2750,41.98888865,-87.72522068118,North Park 1
DMMAG3845,41.6505642,-87.6038782,Riverdale 3
DMMRS6981,42.00388875,-87.7800832952,Forest Glen 1
DMSGP0807,41.97668455,-87.83490487434,Norwood Park 6
DMTRR1120,41.7264486,-87.60347733402,Burnside 1
DMVDY6300,41.82770135,-87.6859207505,McKinley Park 1
DMYFE2499,41.86563285,-87.70345920195,North Lawndale 3
DMYYS7663,41.7770621,-87.65292944762,Englewood 6
DNBEB5545,41.9286974,-87.73569501673,Hermosa 1
DNBKU3560,41.78978595,-87.66959778168,West Englewood 1
DNCCJ5144,41.962849,-87.78047373604,Portage Park 1
DNEXF4696,41.85340285,-87.7191346,North Lawndale 4
DNFCT5518,41.70134325,-87.63695104339,Roseland 6
DNUKL3524,41.89463405,-87.65461125156,West Town 3
DNVBM2851,41.764561,-87.65314835,Englewood 5
DPBXQ5234,41.9761239,-87.7082665047,North Park 2
DPCUT7707,41.88090137336,-87.61873552601,Loop 2
DPDDG5192,41.9358392,-87.79903217638,Montclare 1
DPMHQ8304,41.9758539,-87.67189334395,Uptown 1
DPMWW4120,41.7872597,-87.78189702338,Garfield Ridge 3
DPNPJ6846,41.81485945,-87.6515630055,New City 2
DPPCP3370,41.66388775,-87.62119153511,West Pullman 4
DPQLM7176,41.9486371,-87.67224304234,Lake View 1
DPQMK5751,41.9413011,-87.71842453477,Avondale 1
DPWHE0976,41.81472425,-87.63492704557,Fuller Park 1
DQABT4506,41.66370695,-87.60544860892,Riverdale 2
DQAJZ3770,41.92201145,-87.67250156058,Logan Square 2
DQGPJ5322,41.70266025,-87.69255586271,Beverly 5
DQIUL8061,41.7641265,-87.5857492,South Shore 1
DQJDZ1252,41.67590428555,-87.65402778762,West Pullman 1
DQJVA6225,41.9889689,-87.76288502645,Jefferson Park 1
DQRVM2041,41.76433305,-87.67013475649,West Englewood 3
DQTUI1287,41.6496509,-87.55276648075,Hegewisch 4
DQUUS8611,41.8948325,-87.67276417878,West Town 4
DQVFE3070,41.7643842,-87.63615245585,Englewood 4
DQVGW1846,41.8403843,-87.71981834947,South Lawndale 3
DQWCU6663,41.865808,-87.77006790729,Austin 6
DQXJA8041,41.80260805,-87.72071352115,Archer Heights 3
DQZEA3135,41.68798065,-87.58826181539,South Deering 8
DQZIL1804,41.8150889,-87.68617463895,Brighton Park 2
DRCQU4244,41.68869904102,-87.63708150084,Roseland 5
DRCSL7614,41.97629145,-87.7806628029,Jefferson Park 3
DRDMU5348,41.71400135,-87.63668979965,Washington Heights 3
DRDZF3698,41.9157582,-87.76919201601,Austin 1
DRHPF2920,41.68783235,-87.55325261923,South Deering 4
DRILK5150,41.87824475,-87.71895694228,East Garfield Park 1
DRJGY6541,41.7903099,-87.73683774404,West Elsdon 1
DRJPX9457,41.6767009,-87.55354965902,South Deering 5
DRQFY3540,41.84002135,-87.66866860578,Lower West Side 4
DRRDD3500,41.66298535,-87.55350110056,Hegewisch 6
DRUBP9408,41.7134615385,-87.55271837533,South Deering 2
DRYBG8957,41.82758035,-87.66937111953,McKinley Park 2
